カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0464-0466,得,060,1,107,,,03145
0467,惑,061,1,4,,,03355
0468,悲,061,1,3,,,03335
0469,惟,061,1,3,,,03365
0470-0471,心,061,1,96,,,03179
0472,必,061,1,6,,,03180
0473-0474,意,061,1,56,,,03395
0475,想,061,1,19,,,03373
0476,念,061,1,9,,,03214
0477,惱,061,1,15,,,03372
0478,惠,061,1,3,,,03366
0479,慧,061,1,16,,,03462
0480-0482,性,061,1,107,,,03244
0483-0484,應,061,1,71,,,03550
0485,悉,061,1,10,,,03312
0486,忍,061,1,2,,,03184
0487,思,061,1,7,,,03239
0488,愚,061,1,21,,,03404
0489,感,061,1,7,,,03409
0490,愛,061,1,38,,,03405
0491,慢,061,1,3,,,03458
0492,恆,061,1,4,,,03267
0493,怖,061,1,2,,,03233
0494,恐,061,1,2,,,03272
0495,惡,061,1,8,,,03367
0496,息,061,1,4,,,03298
0497,戀,061,1,2,,,03595
0498,M10661,061,1,2,,,
0499-0500,我,062,1,58,,,03611
0501-0504,成,062,1,155,,,03610
0505,或,062,1,35,,,03617
0506,戒,062,1,3,,,03612
0507,戲,062,1,9,,,03636
0508-0512,所,063,1,178,,,03647
0512,招,064,1,3,,,03758
0513,持,064,1,12,,,03780
0514,推,064,1,3,,,03880
0515,捨,064,1,10,,,03835
0516,據,064,1,22,,,04106
0517,損,064,1,2,,,03939
0518,擇,064,1,13,,,04085
0519-0520,攝,064,1,63,,,04192
0521,提,064,1,8,,,03896
0522,折,064,1,2,,,03711
0523,拔,064,1,2,,,03750
0524,擔,064,1,10,,,04099
0525,總,120,1,9,,,08993
0526,投,064,1,2,,,03708
0527-0534,故,066,1,354,,,04243
0535,敬,066,1,4,,,04286
0536,數,066,1,18,,,04298
0537-0539,教,066,1,143,,,04261
0540,文,067,1,27,,,04321
0541,斷,069,1,29,,,04381
0542,方,070,1,37,,,04385
0543-0544,於,070,1,55,,,04389
0545,施,070,1,2,,,04391
0546,既,071,1,4,,,04442
0547-0554,是,072,1,261,,,04512
0553,時,072,1,43,,,04523
0554-0555,智,072,1,61,,,04569
0556,易,072,1,6,,,04489
0557,普,072,1,24,,,04557
0558,曇,072,1,2,,,04621
0559,暫,072,1,2,,,04603
0560,昧,072,1,8,,,04505
0561-0562,明,072,1,65,,,04485
0563,曾,073,1,3,,,04661
0564,更,073,1,11,,,04654
0565,最,073,1,10,,,04664
0566,曰,073,1,7,,,04650
0567-0572,有,074,1,256,,,04674
0573,望,074,1,20,,,04693
0574,染,075,1,50,,,04848
0575-0576,本,075,1,55,,,04713
0577,末,075,1,41,,,04712
0578,未,075,1,28,,,04711
0579,樂,075,1,14,,,05279
0580,機,075,1,5,,,05368
0581,材,075,1,2,,,04738
0582,束,075,1,2,,,04750
0583,極,075,1,6,,,05161
0584,根,075,1,20,,,04922
0585-0586,果,075,1,74,,,04806
0587,梨,075,1,5,,,04993
0588,楞,075,1,6,,,05138
0589-0590,業,075,1,52,,,05152
0591,歎,076,1,2,,,05612
0592,欲,076,1,27,,,05580
0593,次,076,1,17,,,05558
0594,止,077,1,20,,,05641
0595,正,077,1,32,,,05643
0596,歸,077,1,6,,,05676
0597-0599,此,077,1,134,,,05644
0600,死,078,1,19,,,05686
0601,殊,078,1,2,,,05717
0603,05845,081,1,3,,,05845
