カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0511,通,1,19,,12000,162
0512,速,1,3,,12003,162
0513,近,1,2,,11948,162
0514,遮,1,6,,12083,162
0515,迅,1,2,,11937,162
0516,邊,1,25,,12115,162
0517,達,1,4,,12052,162
0518,那,1,8,,12134,163
0519,量,1,23,,12376,166
0520,金,1,8,,12380,167
0521,錯,1,2,,12528,167
0522,鐸,1,3,,12657,167
0523,閣,1,12,,12739,169
0524,閻,1,3,,12757,169
0525,間,1,9,,12724,169
0526,門,1,20,,12709,169
0527,開,1,20,,12716,169
0528,隨,1,23,,12927,170
0529,除,1,2,,12855,170
0530,際,1,2,,12913,170
0531,離,1,4,,13001,172
0532,集,1,5,,12963,172
0533,難,1,3,,13002,172
0534,雨,1,14,,13012,173
0535,雷,1,2,,13023,173
0536-0538,雲,1,135,,13020,173
0539,青,1,4,,13095,174
0540,靡,1,3,,13107,175
0541,面,1,2,,13108,176
0542,音,1,44,,13281,180
