統合ID,文字,光武帝紀,字体数,用例数,部首
14084,魏,0442,0,1,194
14327,鱗,0443,0,1,195
14446,鴻,0444,0,1,196
14612,鹵,0445,0,1,197
14661,麥,0446,0,1,199
14681,麻,0447,0,1,200
14722,黜,0448,0,1,203
00001,一,0449,1,19,001
00007,三,0450,1,19,001
00004,七,0451,1,8,001
00013,不,0452,1,59,001
00026,丘,0454,1,7,001
00025,世,0455,1,4,001
00009,下,0456,1,42,001
00006,丈,0457,1,2,001
00020,且,0458,1,7,001
00008,上,0459,1,17,001
00002,丁,0460,1,5,001
00017,丑,0461,1,5,001
00027,丙,0462,1,8,001
00051,中,0463,1,33,002
00069,丹,0464,1,3,003
00070,主,0465,1,6,003
00078,乃,0466,1,24,004
00088,之,0467,1,105,004
00092,乎,0470,1,5,004
00085,久,0471,1,4,004
00102,乘,0472,1,6,004
00108,乞,0473,1,2,005
00107,九,0474,1,9,005
00109,也,0475,1,6,005
00121,亂,0476,1,9,005
00104,乙,0477,1,5,005
00128,事,0478,1,6,006
00132,于,0479,1,9,007
00135,五,0480,1,20,007
00133,云,0481,1,4,007
00129,二,0482,1,29,007
00150,亡,0483,1,5,008
00152,交,0484,1,3,008
00157,京,0485,1,2,008
00153,亥,0486,1,4,008
00154,亦,0487,1,8,008
00468,傳,0488,1,8,009
00447,傅,0489,1,2,009
00194,以,0490,1,46,009
00218,伐,0491,1,7,009
00359,修,0492,1,4,009
00313,侯,0493a,2,11,009
00313b,侯,0493b,2,2,009
00168,人,0494,1,40,009
00345,信,0495,1,4,009
00498,僞,0496,1,2,009
00495,僚,0497,1,2,009
00350,倶,0498,1,2,009
00200,仲,0499,1,2,009
00342,保,0500,1,3,009
00206,任,0501,1,2,009
00288,侍,0502,1,2,009
00219,休,0503a,2,2,009
00219b,休,0503b,2,1,009
00282,來,0504,1,6,009
00217,伏,0505,1,6,009
00328,俊,0506,1,2,009
00243,位,0507,1,7,009
00411,偏,0508,1,9,009
00240,但,0509,1,2,009
00250,何,0510,1,8,009
00193,令,0511,1,9,009
00279,使,0512,1,16,009
00228,伯,0513,1,11,009
00450,傑,0514,1,2,009
00567,光,0515,1,73,010
00566,先,0517,1,8,010
00560,元,0518,1,14,010
00564,兆,0519,1,3,010
00561,兄,0520,1,5,010
00570,免,0521,1,6,010
