統合ID,文字,S.2577,字体数,用例数,部首
02396,寫,0407,1,4,040
02323,官,0408,1,2,040
02309,安,0409,1,8,040
02392,寧,0410,1,2,040
02366,富,0411,1,3,040
02308,守,0412,1,7,040
02390,實,0413,1,2,040
02436,導,0414,1,2,041
02430,尋,0415,1,2,041
02429,尊,0416,1,27,041
02439,小,0417,1,3,042
02440,少,0418,1,2,042
02464,就,0419,1,8,043
02515,屬,0420,1,7,044
02508,履,0421,1,22,044
02482,居,0422,1,2,044
02528,山,0423,1,2,046
02780,差,0424,1,2,048
02783,已,0425,1,18,049
02820,帝,0426,1,11,050
02847,常,0427,1,9,050
02835,師,0428,1,17,050
02806,希,0429,1,2,050
02899,平,0430,1,2,051
02902,并,0431,1,2,051
02946,座,0432,1,4,053
02944,度,0433,1,6,053
02993,廣,0434,1,5,053
02932,底,0435,1,3,053
03052,弟,0436,1,6,057
03084,彌,0437,1,3,057
03101,形,0438,1,5,059
03138,後,0439,1,13,060
03128,往,0440,1,7,060
03159,復,0441,1,13,060
03124,彼,0442,1,21,060
03145,得,0443,1,43,060
03151,從,0444,1,9,060
03172,德,0445,1,25,060
03165,微,0446,1,3,060
03312,悉,0447,1,6,061
03179,心,0448,1,19,061
03214,念,0449,1,31,061
03402,愍,0450,1,8,061
03180,必,0451,1,2,061
03395,意,0452,1,11,061
03329,患,0453,1,4,061
03297,恭,0454,1,2,061
03550,應,0455,1,21,061
03462,慧,0456,1,4,061
03267,恆,0457,1,5,061
03239,思,0458,1,6,061
03335,悲,0459,1,4,061
03245,怨,0460,1,2,061
03372,惱,0461,1,5,061
03233,怖,0462,1,3,061
03439,慈,0463,1,6,061
03458,慢,0464,1,4,061
03208,快,0465,1,2,061
03534,憶,0466,1,5,061
03362,惚,0467,1,3,061
03611,我,0468,1,46,062
03610,成,0469,1,10,062
03617,或,0470,1,10,062
02105,威,0471,1,5,038
03647,所,0472,1,44,063
04406,旋,0473,1,3,070
03659,手,0474,1,6,064
03706,抓,0475,1,2,064
03761,拜,0476,1,2,064
03783,指,0477,1,2,064
03780,持,0478,1,30,064
03880,推,0479,1,2,064
03896,提,0480,1,15,064
04009,摩,0481,1,17,064
03858,掌,0482,1,8,064
04082,擁,0483,1,11,064
04286,敬,0484,1,3,066
04243,故,0485,1,22,066
04263,救,0486,1,2,066
04233,放,0487,1,2,066
04261,教,0488a,3,2,066
04261b,教,0488b,3,2,066
04261c,教,0488c,3,1,066
04298,數,0489,1,2,066
04385,方,0490,1,6,070
04389,於,0491,1,51,070
04391,施,0493,1,2,070
06872,無,0494,1,39,086
04621,曇,0495,1,2,072
04557,普,0496,1,20,072
04569,智,0497,1,12,072
04523,時,0498,1,39,072
04505,昧,0499,1,13,072
04485,明,0500,1,7,072
04446,日,0501,1,11,072
04512,是,0502,1,103,072
04450,旨,0505,1,2,072
04661,曾,0506,1,3,073
04660,曼,0507,1,3,073
04667,會,0508,1,2,073
04657,書,0509,1,7,073
04650,曰,0510,1,8,073
04674,有,0511,1,41,074
05010,梵,0512,1,2,075
04817,枳,0513,1,2,075
04712,末,0514,0,1,075
04713,本,0515,1,4,075
04922,根,0516,1,3,075
05323,樹,0517,1,6,075
05228,槃,0518a,2,1,075
05228b,槃,0518b,2,1,075
05279,樂,0519,1,8,075
01878,壇,0520,1,6,032
05293,樓,0521,1,10,075
05580,欲,0522,1,10,076
05639,歡,0523a,2,3,076
05639b,歡,0523b,2,1,076
05643,正,0524,1,8,077
05644,此,0525,1,31,077
05666,歳,0526,1,4,077
05686,死,0527,1,2,078
05699,殃,0528,1,2,078
05734,殖,0529,1,2,078
05812,毀,0530a,3,5,079
05812b,毀,0530b,3,1,079
05812c,毀,0530c,3,1,079
05792,段,0531,1,2,079
05834,母,0532a,2,13,080
05834b,母,0532b,2,3,080
05839,毒,0533,1,5,080
05841,比,0534,1,6,081
05947,氣,0535,1,3,084
05952,水,0536,1,5,085
05964,求,0537,1,5,085
05983,汝,0538,1,19,085
06031,沙,0539,1,10,085
06074,法,0540,1,73,085
06052,油,0542,1,7,085
06088,泥,0543,1,5,085
06045,河,0544,1,5,085
06086,波,0545,1,19,085
06182,海,0546,1,4,085
06175,浮,0547,1,4,085
06272,淨,0548,1,23,085
06192,消,0549,1,2,085
06151,流,0550,1,2,085
06189,涅,0551,1,6,085
06290,清,0552,1,4,085
06432,滅,0553,1,9,085
06285,深,0554,1,5,085
06476,滿,0555,1,2,085
06571,澍,0556,1,2,085
06617,濁,0557,1,2,085
06971,燈,0558,1,8,086
06776,火,0559,1,6,086
06885,然,0560,1,3,086
06957,熱,0561,1,2,086
06918,照,0562,1,4,086
07032,爲,0563,1,39,087
07035,父,0564,1,14,088
07043,爾,0565,1,24,089
07065,牙,0566,1,3,092
07074,牟,0567,1,9,093
07091,犂,0568,1,7,093
07241,獲,0569,1,2,094
07262,王,0570,1,51,096
07290,珞,0572,1,6,096
07397,瓔,0573,1,5,096
