統合ID,文字,花嚴新羅,字体数,用例数,部首
06882,焰,0367,1,27,086
06965,熾,0368,1,8,086
06872,無,0369,1,59,086
06971,燈,0371,1,6,086
06885,然,0372,1,9,086
06918,照,0373,1,19,086
07032,爲,0374,1,77,087
07043,爾,0376,1,16,089
07047,牆,0377,1,2,090
07122,狀,0378,1,18,094
07203,猶,0379,1,12,094
07291,珠,0380,1,20,096
07262,王,0381,1,36,096
07261,玉,0382,1,2,096
07304,現,0383,1,34,096
07287,珍,0384,1,2,096
07461,生,0385,1,26,100
07535,當,0386,1,2,102
07479,由,0387,1,5,102
07501,界,0388a,2,139,102
07501b,界,0388b,2,1,102
07591,疾,0391,1,2,104
07707,發,0392,1,7,105
07717,皆,0393,1,24,106
07710,百,0394,1,3,106
07785,盧,0395,1,7,108
07758,盈,0396,1,3,108
07779,盡,0397,1,8,108
07844,眾,0398,1,59,109
07827,眞,0400,1,8,109
07801,相,0401,1,18,109
07843,眼,0402,1,2,109
08148,福,0403,1,3,113
08124,神,0404,1,20,113
08248,稱,0405,1,3,115
08244,種,0406,1,101,115
08296,空,0409,1,9,116
08380,競,0410,1,3,117
08426,等,0411,1,22,118
08685,精,0412,1,2,119
08885,網,0413,1,26,120
08779,細,0414,1,2,120
09020,繞,0415a,1,21,120
09020b,繞,0415b,1,4,120
08817,絡,0416,1,5,120
08753,純,0417,1,6,120
09072,纓,0418,1,8,120
09144,羅,0419,1,6,122
09175,羣,0420,1,2,123
09177,義,0421a,2,4,123
09177b,義,0421b,2,4,123
09255,者,0422,1,7,125
09264,而,0423,1,32,126
09315,聞,0424,1,3,128
09328,聲,0425,1,19,128
09429,能,0426,1,17,130
09462,脩,0427,1,9,130
09395,胎,0428,1,2,130
09602,自,0429,1,10,132
09610,至,0430,1,3,133
09617,臺,0431,1,2,133
09643,舒,0432,1,2,135
09716,色,0433,1,26,139
09758,花,0434,1,76,140
09788,若,0436,1,10,140
09753,芬,0437,1,6,140
10040,蓋,0438,1,4,140
09919,菩,0439,1,34,140
10191,藏,0440,1,31,140
10050,蓮,0441,1,21,140
10163,薩,0442,1,32,140
10223,蘂,0443,1,3,140
09846,草,0444,1,2,140
09869,莊,0445,1,91,140
10270,處,0447,1,14,141
10272,虛,0448,1,6,141
10276,號,0449,1,19,141
10614,行,0450,1,22,144
10637,衣,0451,1,10,145
10826,覆,0452,1,26,146
10859,觀,0453,1,9,147
10848,親,0454,1,2,147
10831,見,0455,1,10,147
11085,諸,0456,1,68,149
11025,説,0458,1,30,149
10890,言,0459,1,22,149
11038,調,0460,1,2,149
11195,議,0461a,2,3,149
11195b,議,0461b,2,3,149
11095,謂,0462,1,2,149
11397,賢,0463,1,21,154
11451,赫,0464,1,2,155
11485,趣,0465,1,3,156
11715,身,0466,1,12,158
11827,輪,0467,1,46,159
11856,轉,0468,1,3,159
11816,輞,0469,1,2,159
11948,近,0470,1,3,162
11960,迦,0471,1,2,162
12046,過,0472,1,19,162
12042,遊,0473,1,2,162
12051,道,0474,1,3,162
12083,遮,0475,1,7,162
03157,徧,0476,1,33,060
12000,通,0477,1,7,162
12115,邊,0478,1,16,162
12134,那,0479,1,11,163
12371,釋,0480,1,2,165
12376,量,0481,1,11,166
12373,重,0482,1,8,166
12657,鐸,0483,1,2,167
12528,錯,0484,1,3,167
12418,鈴,0485,1,5,167
12380,金,0486,1,21,167
12629,鐃,0487,1,4,167
