統合ID,文字,S2067,字体数,用例数,部首
11200,護,0618,1,6,149
11051,諍,0619,1,2,149
11229,讚,0620,1,2,149
11072,諦,0621,1,2,149
11195,議,0622,1,12,149
11261,豐,0623,1,2,151
11397,賢,0624,1,3,154
11402,賤,0625,1,2,154
11342,貪,0626,1,3,154
11338,貧,0627,1,2,154
11461,起,0628,1,12,156
11485,趣,0629,1,7,156
11495,足,0630,1,47,157
11715,身,0631,1,36,158
11856,轉,0632,1,7,159
11827,輪,0633,1,5,159
11916,辯,0634,1,4,160
12070,遠,0635,1,4,162
12115,邊,0636,1,8,162
12042,遊,0637,1,5,162
11982,退,0638,1,4,162
03008,廻,0639,1,84,054
12010,連,0641,1,2,162
12046,過,0642,1,2,162
12051,道,0643,1,10,162
03157,徧,0644,1,6,060
12914,障,0645,1,7,170
12134,那,0646,1,3,163
12376,量,0647,1,53,166
12380,金,0649,1,3,167
12698,長,0650,1,3,168
12716,開,0651,1,3,169
12709,門,0652,1,4,169
12739,閣,0653,1,2,169
12724,間,0654,1,16,169
12768,闇,0655,1,2,169
12913,際,0656,1,4,170
12927,隨,0657,1,34,170
12855,除,0658,1,9,170
12830,阿,0659,1,21,170
12935,隱,0660,1,2,170
13001,離,0661,1,32,172
12997,雜,0662,1,8,172
13002,難,0663,1,2,172
13012,雨,0664,1,4,173
13020,雲,0665,1,5,173
13073,露,0666,1,3,173
13104,非,0667,1,7,175
13281,音,0668,1,5,180
13302,順,0669,1,21,181
13391,願,0670,1,8,181
13307,頌,0671,1,2,181
13380,顏,0672,1,2,181
13296,頂,0673,1,2,181
13398,類,0674,1,3,181
13551,養,0675,1,8,184
13565,餘,0676,1,4,184
13503,食,0677,1,8,184
13526,飮,0678,1,3,184
13667,香,0679,1,23,186
13934,體,0680,1,4,188
13999,鬘,0681,1,4,190
13970,髻,0682,1,2,190
14088,魔,0683,1,3,194
00245,住,0684a,2,18,009
00245b,住,0684b,2,2,009
01767,堅,0685a,2,14,032
01767b,堅,0685b,2,2,032
02993,廣,0686a,2,2,053
02993b,廣,0686b,2,1,053
02924,床,0687a,2,3,053
02924b,床,0687b,2,1,053
07212,獄,0688a,2,2,094
07212b,獄,0688b,2,1,094
08107,祇,0689a,2,10,113
08107b,祇,0689b,2,10,113
10856,覺,0690a,2,6,147
10856b,覺,0690b,2,1,147
12052,達,0691a,2,6,162
12052b,達,0691b,2,3,162
12831,陀,0692a,2,2,170
12831b,陀,0692b,2,1,170
06338,渴,0693,0,1,085
03659,手,0694,1,2,064
04296,敷,0695,0,1,066
