カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0204,誓,0 ,,,,,11008,149,1 
0205,誘,0 ,,,,,11012,149,1 
0206,談,0 ,,,,,11046,149,1 
0207,論,0 ,,,,,11058,149,1 
0208,讚,0 ,,,,,11229,149,1 
0209,谷,0 ,,,,,11234,150,1 
0210,豈,0 ,,,,,11253,151,1 
0211,象,0 ,,,,,11275,152,1 
0212,賤,0 ,,,,,11402,154,1 
0213,趺,0 ,,,,,11502,157,1 
0214,蹈,0 ,,,,,11618,157,1 
0215,軌,0 ,,,,,11744,159,1 
0216,軍,0 ,,,,,11745,159,1 
0217,11831,0 ,,,,,11831,159,1 
0218,輕,0 ,,,,,11802,159,1 
0219,辱,0 ,,,,,11918,161,1 
0220,逆,0 ,,,,,11986,162,1 
0221,逐,0 ,,,,,11993,162,1 
0222,進,0 ,,,,,12022,162,1 
0223,達,0 ,,,,,12052,162,1 
0224,違,0 ,,,,,12054,162,1 
0225,遙,0 ,,,,,12062,162,1 
0226,遠,0 ,,,,,12070,162,1 
0227,遭,0 ,,,,,12082,162,1 
0228,遮,0 ,,,,,12083,162,1 
0229,遷,0 ,,,,,12093,162,1 
0230,遽,0 ,,,,,12102,162,1 
0231,邑,0 ,,,,,12123,163,1 
0232,部,0 ,,,,,12176,163,1 
0233,都,0 ,,,,,12188,163,1 
0234,釋,0 ,,,,,12371,165,1 
0235,鈴,0 ,,,,,12418,167,1 
0236,鉢,0 ,,,,,12440,167,1 
0237,錢,0 ,,,,,12518,167,1 
0238,錯,0 ,,,,,12528,167,1 
0239,鐸,0 ,,,,,12657,167,1 
0240,鑑,0 ,,,,,12665,167,1 
0241,閣,0 ,,,,,12739,169,1 
0242,12748,0 ,,,,,12748,169,1 
0243,闇,0 ,,,,,12768,169,1 
0244,闥,0 ,,,,,12800,169,1 
0245,障,0 ,,,,,12914,170,1 
0246,隱,0 ,,,,,12935,170,1 
0247,集,0 ,,,,,12963,172,1 
0248,雜,0 ,,,,,12997,172,1 
0249,電,0 ,,,,,13026,173,1 
0250,霧,0 ,,,,,13063,173,1 
0251,靈,0 ,,,,,13092,173,1 
0252,青,0 ,,,,,13095,174,1 
0253,靡,0 ,,,,,13107,175,1 
0254,面,0 ,,,,,13108,176,1 
0255,13176,0 ,,,,,13176,177,1 
0256,頃,0 ,,,,,13297,181,1 
0257,順,0 ,,,,,13302,181,1 
0258,頻,0 ,,,,,13359,181,1 
0259,顏,0 ,,,,,13380,181,1 
0260,顛,0 ,,,,,13395,181,1 
0261,顯,0 ,,,,,13416,181,1 
0262,飾,0 ,,,,,13542,184,1 
0263,髮,0 ,,,,,13959,190,1 
0264,鬱,0 ,,,,,14039,192,1 
0265,鳥,0 ,,,,,14361,196,1 
0266,14659,0 ,,,,,14659,198,1 
0267,鼻,0 ,,,,,14809,209,1 
0268,龍,0 ,,,,,14876,212,1 
0269-0272,一,1 ,164 ,,,,00001,001,4 
0273-0274,三,1 ,56 ,,,,00007,001,2 
0275,上,1 ,8 ,,,,00008,001,1 
0276,下,1 ,9 ,,,,00009,001,1 
0277-0278,不,1 ,67 ,,,,00013,001,2 
0279-0280,世,1 ,53 ,,,,00025,001,2 
0281,中,1 ,35 ,,,,00051,002,1 
0282,主,1 ,5 ,,,,00070,003,1 
0283,乃,1 ,10 ,,,,00078,004,1 
0284,久,1 ,5 ,,,,00085,004,1 
0285,之,1 ,20 ,,,,00088,004,1 
0286,乘,1 ,3 ,,,,00102,004,1 
0287,了,1 ,13 ,,,,00125,006,1 
