,,kyo_教行信証,kyo_教行信証,kyo_教行信証,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11495,足,0573,1,5,157
11715,身,0574,1,66,158
11826,輩,0576,1,2,159
11827,輪,0577,1,7,159
11856,轉,0578,1,9,159
11948,近,0579,1,3,162
11960,迦,0580,1,5,162
12000,通,0581,1,10,162
12022,進,0582,1,4,162
12042,遊,0583,1,9,162
12046,過,0584,1,2,162
12052,達,0585,1,4,162
11996,逕,0586,1,3,162
12054,違,0587,1,6,162
12070,遠,0588,1,20,162
12074,遣,0589,1,2,162
12108,還,0590,1,7,162
12134,那,0591,1,4,163
12139,邪,0592,1,4,163
12914,障,0593,1,12,170
12376,量,0594,1,11,166
12698,長,0595,1,5,168
12709,門,0596,1,44,169
12716,開,0597,1,5,169
12724,間,0598,1,8,169
12830,阿,0599,1,17,170
12831,陀,0600,1,17,170
12855,除,0601,1,3,170
12892,階,0602,1,2,170
12927,隨,0603,1,10,170
12963,集,0604,1,3,172
12991,雖,0605,1,6,172
12997,雜,0606,1,4,172
13001,離,0607,1,20,172
13002,難,0608,1,3,172
13103,靜,0609,1,8,174
13104,非,0610,1,28,175
13296,頂,0611,1,3,181
13302,順,0612,1,12,181
13304,須,0613,1,4,181
13380,顏,0614,1,2,181
13391,願,0615,1,44,181
13395,顚,0616a,2,2,181
13395b,顚,0616b,2,1,181
13398,類,0617,1,4,181
13416,顯,0618,1,5,181
13503,食,0619,1,4,184
13551,養,0620,1,10,184
13661,首,0621,1,5,185
13934,體,0622a,2,8,188
13934b,體,0622b,2,1,188
13940,高,0623,1,3,189
14828,齊,0624,1,2,210
00128,事,0625a,2,8,006
00128b,事,0625b,2,2,006
00132,于,0626a,2,1,007
00132b,于,0626b,2,1,007
00759,初,0627a,2,7,018
00759b,初,0627b,2,1,018
05643,正,0628a,2,15,077
05643b,正,0628b,2,9,077
06272,淨,0629a,2,62,085
06272b,淨,0629b,2,20,085
06872,無,0631a,2,103,086
06872b,無,0631b,2,1,086
08165,禮,0634a,2,3,113
08165b,禮,0634b,2,2,113
09175,羣,0635a,2,3,123
09175b,羣,0635b,2,1,123
09629,與,0636a,2,11,134
09629b,與,0636b,2,1,134
09954,萬,0637a,2,2,140
09954b,萬,0637b,2,1,140
12051,道,0638a,2,9,162
12051b,道,0638b,2,2,162
12913,際,0639a,2,1,170
12913b,際,0639b,2,1,170
13565,餘,0640a,2,6,184
13565b,餘,0640b,2,1,184
12371,釋,0641a,3,3,165
12371b,釋,0641b,3,2,165
12371c,釋,0641c,3,2,165
