カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0164,退,0,1,,,11982,162,,
0165,遏,0,1,,,12047,162,,
0166,通,0,1,,,12000,162,,
0167,部,0,1,,,12176,163,,
0168,都,0,1,,,12188,163,,
0169,醉,0,1,,,12313,164,,
0170,閉,0,1,,,12714,169,,
0171,鍵,0,1,,,12560,167,,
0172,阿,0,1,,,12830,170,,
0173,際,0,1,,,12913,170,,
0174,集,0,1,,,12963,172,,
0175,雜,0,1,,,12997,172,,
0176,響,0,1,,,13293,180,,
0177,頼,0,1,,,11411,154,,
0178,顛,0,1,,,13395,181,,
0179,頻,0,1,,,13359,181,,
0180,飢,0,1,,,13508,184,,
0181,鬘,0,1,,,13999,190,,
0182,鬪,0,1,,,14033,191,,
0183,黨,0,1,,,14730,203,,
0184,齋,0,1,,,14829,210,,
0185-0186,三,1,61,,,00007,001,,
0187,七,1,14,,,00004,001,,
0188-0189,一,1,62,,,00001,001,,
0190-0191,不,1,77,,,00013,001,,
0192,上,1,15,,,00008,001,,
0193,世,1,18,,,00025,001,,
0194,中,1,19,,,00051,002,,
0195,主,1,2,,,00070,003,,
0196,乃,1,2,,,00078,004,,
0197,乘,1,5,,,00102,004,,
0198,久,1,5,,,00085,004,,
0199,乏,1,2,,,00093,004,,
0200,之,1,11,,,00088,004,,
0201,九,1,3,,,00107,005,,
0202,事,1,29,,,00128,006,,
0203,了,1,2,,,00125,006,,
0204,云,1,10,,,00133,007,,
0205,五,1,29,,,00135,007,,
0206,二,1,46,,,00129,007,,
0207,亦,1,24,,,00154,008,,
0208,交,1,3,,,00152,008,,
0209,住,1,20,,,00245,009,,
0210,倶,1,3,,,00350,009,,
0211,供,1,8,,,00299,009,,
0212,位,1,3,,,00243,009,,
0213,傍,1,4,,,00449,009,,
0214,他,1,18,,,00183,009,,
0215-0216,依,1,85,,,00301,009,,
0217,伽,1,2,,,00236,009,,
0218,令,1,3,,,00193,009,,
0219,今,1,3,,,00175,009,,
0220,信,1,3,,,00345,009,,
0221,侵,1,2,,,00317,009,,
0222,伺,1,28,,,00233,009,,
0223,便,1,17,,,00321,009,,
0224,何,1,46,,,00250,009,,
0225,來,1,3,,,00282,009,,
0226,作,1,23,,,00256,009,,
