カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0314,羹,123,0,,,,09191
0315,考,125,0,,,,09251
0316,耶,128,0,,,,09292
0317,脱,130,0,,,,09463
0318,膽,130,0,,,,09562
0319,臂,130,0,,,,09568
0320,舟,137,0,,,,09657
0321,舸,137,0,,,,09674
0322,艘,137,0,,,,09694
0323,良,138,0,,,,09714
0324,芝,140,0,,,,09742
0325,若,140,0,,,,09788
0326,莫,140,0,,,,09886
0327,菜,140,0,,,,09910
0328,菩,140,0,,,,09919
0329,萼,140,0,,,,09960
0330,落,140,0,,,,09961
0331,著,140,0,,,,09972
0332,蓮,140,0,,,,10050
0333,蓐,140,0,,,,10043
0334,蕃,140,0,,,,10093
0335,薩,140,0,,,,10163
0336,藍,140,0,,,,10189
0337,蜂,142,0,,,,10391
0338,蝕,142,0,,,,10457
0339,塋,032,0,,,,01809
0340,蠶,142,0,,,,10599
0341,袍,145,0,,,,10667
0342,裂,145,0,,,,10698
0343,裏,145,0,,,,10703
0344,10705,145,0,,,,10705
0345,襃,145,0,,,,10774
0346,要,146,0,,,,10822
0347,覓,147,0,,,,10834
0348,親,147,0,,,,10848
0349,覺,147,0,,,,10856
0350,觸,148,0,,,,10887
0351,計,149,0,,,,10896
0352,託,149,0,,,,10913
0353,詐,149,0,,,,10957
0354,試,149,0,,,,10975
0355,話,149,0,,,,10986
0356,誤,149,0,,,,11020
0357,課,149,0,,,,11029
0358,識,149,0,,,,11171
0359,讓,149,0,,,,11222
0360,豆,151,0,,,,11250
0361,貌,153,0,,,,11311
0362,貧,154,0,,,,11338
0363,費,154,0,,,,11359
0364,赤,155,0,,,,11445
0365,赴,156,0,,,,11457
0366,迹,162,0,,,,11976
0367,躬,158,0,,,,11716
0368,輔,159,0,,,,11801
0369,辭,160,0,,,,11914
0370,逃,162,0,,,,11984
0371,通,162,0,,,,12000
0372,逸,162,0,,,,12027
0373,遇,162,0,,,,12040
0374,遊,162,0,,,,12042
0375,運,162,0,,,,12043
0376,違,162,0,,,,12054
0377,遠,162,0,,,,12070
0378,遷,162,0,,,,12093
0379,遺,162,0,,,,12097
0380,避,162,0,,,,12103
0381,那,163,0,,,,12134
0382,郎,163,0,,,,12168
0383,鄙,163,0,,,,12212
0384,鄰,163,0,,,,12234
0385,酒,164,0,,,,12266
0386,里,166,0,,,,12372
0387,鉤,167,0,,,,12441
0388,銀,167,0,,,,12451
0389,鋪,167,0,,,,12494
0390,鎖,167,0,,,,12573
0391,鐵,167,0,,,,12654
0392,鑪,167,0,,,,12680
0393,開,169,0,,,,12716
0394,12767,169,0,,,,12767
0395,闕,169,0,,,,12783
0396,12788,169,0,,,,12788
0397,闢,169,0,,,,12797
0398,阜,170,0,,,,12802
0399,陣,170,0,,,,12854
0400,障,170,0,,,,12914
0401,雜,172,0,,,,12997
0402,霜,173,0,,,,13052
0403,霧,173,0,,,,13063
0404,靡,175,0,,,,13107
0405,鞋,177,0,,,,13158
0406,響,180,0,,,,13293
0407,頃,181,0,,,,13297
0408,領,181,0,,,,13327
0409,飛,183,0,,,,13495
0410,食,184,0,,,,13503
0411,飫,184,0,,,,13521
0412,館,184,0,,,,13584
0413,首,185,0,,,,13661
0414,髮,190,0,,,,13959
0415,魚,195,0,,,,14101
0416,鳥,196,0,,,,14361
0417,鷄,196,0,,,,14542
0418,點,203,0,,,,14725
0419,黨,203,0,,,,14730
0420,鼠,208,0,,,,14790
0421,一,001,1,28,,,00001
0422,三,001,1,23,,,00007
0423,七,001,1,3,,,00004
0424,下,001,1,8,,,00009
0425,丁,001,1,13,,,00002
0426,上,001,1,14,,,00008
0427,不,001,1,50,,,00013
0428,丙,001,1,10,,,00027
0429,丑,001,1,9,,,00017
0430,丈,001,1,3,,,00006
0431,世,001,1,6,,,00025
0432,中,002,1,42,,,00051
0433,主,003,1,4,,,00070
0434-0435,之,004,1,67,,,00088
0436,乘,004,1,4,,,00102
