統合ID,文字,東禪毘婆,字体数,用例数,部首
13104,非,0409,1,50,175
13398,類,0410,1,116,181
13391,願,0413,1,6,181
13296,頂,0414,1,3,181
13416,顯,0415,1,7,181
13297,頃,0416,1,4,181
13565,餘,0417,1,18,184
13934,體,0418,1,4,188
14659,麤,0419,1,3,198
00350,倶,0420a,2,11,009
00350b,倶,0420b,2,1,009
03462,慧,0421a,2,2,061
03462b,慧,0421b,2,1,061
03636,戲,0422a,2,1,062
03636b,戲,0422b,2,1,062
04381,斷,0423a,2,132,069
04381b,斷,0423b,2,21,069
12913,際,0427a,2,1,170
12913b,際,0427b,2,1,170
12927,隨,0428a,2,25,170
12927b,隨,0428b,2,4,170
12997,雜,0429a,2,3,172
12997b,雜,0429b,2,2,172
03466,慮,0430a,3,11,061
03466b,慮,0430b,3,5,061
03466c,慮,0430c,3,1,061
