カード番号,文字,字体数,用例数1,用例数2,用例数3,部首,大字典
0243,問,1,9,,,030,01369
0244,喜,1,7,,,030,01412
0245,各,1,23,,,030,01168
0246,四,1,15,,,031,01607
0247,圓,1,2,,,031,01645
0248,因,1,5,,,031,01611
0249,國,1,16,,,031,01639
0250,土,1,16,,,032,01654
0251-0252,地,1,58,,,032,01666
0253,増,1,6,,,032,01853
0254,報,1,12,,,032,01796
0255,坐,1,2,,,032,01682
0256,境,1,5,,,032,01839
0257,垢,1,3,,,032,01726
0258,壞,1,17,,,032,01895
0259,在,1,27,,,032,01659
0260,士,1,2,,,033,01903
0261,夜,1,3,,,036,01939
0262,多,1,5,,,036,01938
0263-0264,大,1,61,,,037,01946
0265,失,1,6,,,037,01957
0266,奏,1,3,,,037,01981
0267,天,1,26,,,037,01947
0268,妙,1,18,,,038,02045
0269,女,1,2,,,038,02022
0270,威,1,5,,,038,02105
0271,婆,1,2,,,038,02142
0272,妄,1,2,,,038,02033
0273,始,1,4,,,038,02069
0274-0276,如,1,116,,,038,02031
0277,子,1,31,,,039,02262
0278,孔,1,2,,,039,02264
0279,學,1,2,,,039,02293
0280,字,1,2,,,039,02267
0281,密,1,4,,,040,02361
0282,宣,1,3,,,040,02333
0283,定,1,28,,,040,02325
0284,察,1,10,,,040,02383
0285,寂,1,6,,,040,02357
0286,實,1,15,,,040,02390
0287,寶,1,6,,,040,02407
0288,安,1,4,,,040,02309
0289,導,1,2,,,041,02436
0290,尊,1,6,,,041,02429
0291,小,1,6,,,042,02439
0292,就,1,15,,,043,02464
0293,屈,1,3,,,044,02485
0294,屬,1,2,,,044,02515
0295,巧,1,7,,,048,02775
0296,已,1,14,,,049,02783
0297,常,1,9,,,050,02847
0298,師,1,7,,,050,02835
0299,布,1,4,,,050,02800
0300,平,1,6,,,051,02899
0301,幻,1,3,,,052,02907
0302,座,1,3,,,053,02946
0303,度,1,6,,,053,02944
0304,彌,1,2,,,057,03084
0305,形,1,16,,,059,03101
0306,得,1,50,,,060,03145
0307,復,1,34,,,060,03159
0308,徳,1,12,,,060,03172
