カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号,留意点
0426,03157,1,2,,03157,060,
0427,進,1,2,,12022,162,
0428,都,1,2,,12188,163,
0429,量,1,14,,12376,166,
0430,門,1,26,,12709,169,
0431,間,1,3,,12724,169,
0432,際,1,5,,12913,170,
0433,隨,1,5,,12927,162,
0434,陀,1,11,,12831,170,
0435,阿,1,35,,12830,170,
0436,集,1,2,,12963,172,
0437-0438,離,1,65,,13001,172,
0439,雲,1,19,,13020,173,
0440,預,1,33,,13313,181,
0441-0442,願,1,71,,13391,181,
0443,風,1,2,,13423,182,
0444,養,1,3,,13551,184,
0445,餘,1,2,,13565,184,
0446,香,1,7,,13667,186,
0447,鼻,1,11,,14809,209,
0448-0449,來,2,88,2,00282,075,
0450-0451,淨,2,58,18,06272,085,
0452-0453,聲,2,66,9,09328,128,
0454-0455,般,1,76,,09665,137,
0456,靜,2,41,3,13103,174,
0457,識,1,18,,11171,149,
0458-0459,訶,1,71,,10936,149,
