統合ID,文字,五一續高,字体数,用例数,部首
08019,碑,0333,0,1,112
10709,裕,0334,0,1,145
08238,稟,0335,0,1,115
08121,祛,0336,0,1,113
08176,禽,0337,0,1,114
08180,私,0338,0,1,115
08204,秦,0339,0,1,115
08291,穴,0340,0,1,116
08337,窺,0341,0,1,116
08300,穿,0342,0,1,116
11258,豎,0343,0,1,151
08365,竟,0344,0,1,117
08380,競,0345,0,1,117
08501,築,0346,0,1,118
08438,策,0347,0,1,118
08390,笈,0348,0,1,118
08576,簪,0349,0,1,118
08718,糧,0350,0,1,119
08679,粹,0351,0,1,119
08689,糅,0352,0,1,119
08868,綜,0353,0,1,120
09047,繼,0354,0,1,120
09013,繕,0355,0,1,120
08884,綱,0356,0,1,120
08915,緘,0357,0,1,120
08938,練,0358,0,1,120
08761,紜,0359,0,1,120
08753,純,0360,0,1,120
08758,紙,0361a,2,1,120
08758b,紙,0361b,2,1,120
08899,綿,0362,0,1,120
08754,紕,0363,0,1,120
08760,紛,0364,0,1,120
09046,繻,0365,0,1,120
09061,續,0366,0,1,120
08934,緯,0367,0,1,120
09073,纔,0368,0,1,120
09125,罪,0369,0,1,122
09144,羅,0370,0,1,122
09150,羊,0371,0,1,123
09236,翰,0372,0,1,124
09195,羽,0373,0,1,124
09218,翕,0374,0,1,124
09292,耶,0375,0,1,128
09336,聾,0376,0,1,128
09345,肆,0377,0,1,129
09446,脕,0378,0,1,130
09394,背,0379,0,1,130
09463,脱,0380,0,1,130
09535,膏,0381,0,1,130
09601,臨,0382,0,1,131
09617,臺,0383,0,1,133
09643,舒,0384,0,1,135
09715,艱,0385,0,1,138
09894,菁,0386,0,1,140
09795,英,0387,0,1,140
09810,茅,0388,0,1,140
08353,竊,0389,0,1,116
10104,蕑,0390,0,1,140
10231,蘇,0391,0,1,140
09808,范,0392,0,1,140
10123,蕩,0393,0,1,140
09782,苟,0394,0,1,140
09867,莅,0395,0,1,140
07258,玆,0396,0,1,095
09941,萌,0397,0,1,140
09823,茨,0398,0,1,140
09759,芳,0399,0,1,140
10072,蔓,0400,0,1,140
M30851,䒫,0401,0,1,140
09994,葺,0402,0,1,140
09753,芬,0403,0,1,140
09804,苾,0404,0,1,140
10264,虎,0405,0,1,141
03466,慮,0406,0,1,061
10282,虧,0407,0,1,141
10318,蚤,0408,0,1,142
10476,蝨,0409,0,1,142
10549,蟲,0410,0,1,142
10631,衡,0411,0,1,144
10732,製,0412,0,1,145
10744,褐,0413,0,1,145
10724,裳,0414,0,1,145
M34205,袠,0415,0,1,145
10712,裙,0416,0,1,145
10714,補,0417,0,1,145
10736,複,0418,0,1,145
10826,覆,0419,0,1,146
10858,覿,0420,0,1,147
07870,睹,0421,0,1,109
10833,規,0422,0,1,147
10887,觸,0423,0,1,148
11189,譬,0424,0,1,149
11116,謗,0425,0,1,149
11092,謀,0426,0,1,149
11038,調,0427,0,1,149
11006,誑,0428,0,1,149
11121,謝,0429,0,1,149
11046,談,0430,0,1,149
10957,詐,0431,0,1,149
11028,誰,0432,0,1,149
11008,誓,0433,0,1,149
10925,訪,0434,0,1,149
11010,誕,0435,0,1,149
11200,護,0436,0,1,149
10946,詁,0437,0,1,149
10913,託,0438,0,1,149
10909,訓,0439,0,1,149
10972,詢,0440,0,1,149
10914,記,0441,0,1,149
10917,訝,0442,0,1,149
11094,謁,0443,0,1,149
11117,謙,0444,0,1,149
11292,豸,0445,0,1,153
11343,貫,0446,0,1,154
11429,贈,0447,0,1,154
11373,資,0448,0,1,154
11339,貨,0449,0,1,154
11374,賈,0450,0,1,154
11404,質,0451,0,1,154
11361,貽,0452,0,1,154
11354,貳,0453,0,1,154
11485,趣,0454,0,1,156
11454,走,0455,0,1,156
11471,越,0456,0,1,156
11542,跪,0457,0,1,157
11541,跨,0458,0,1,157
11646,蹤,0459,0,1,157
11515,跋,0460,0,1,157
11716,躬,0461,0,1,158
11799,輒,0462,0,1,159
11827,輪,0463,0,1,159
11763,軟,0464,0,1,159
11893,辛,0465,0,1,160
12040,遇,0466,0,1,162
11983,送,0467,0,1,162
M39111,,0468,0,1,162
12027,逸,0469,0,1,162
11996,逕,0470,0,1,162
11937,迅,0471,0,1,162
12091,遵,0472,0,1,162
12092,遶,0473,0,1,162
12062,遙,0474,0,1,162
11976,迹,0475,0,1,162
12110,邃,0476,0,1,162
