統合ID,文字,兼方紀2,字体数,用例数,部首
09264,而,0806,1,120,126
09267,耐,0809,1,3,126
09278,耜,0810,1,9,127
09290,耳,0811,1,9,128
09315,聞,0812,1,11,128
09328,聲,0813,1,4,128
09413,胤,0814,1,7,130
09425,胸,0815,1,7,130
09577,臍,0816,1,2,130
09429,能,0817,1,17,130
09394,背,0818,1,10,130
09508,腰,0819,1,2,130
09522,膂,0820,1,3,130
09548,膩,0821,1,3,130
09601,臨,0822,1,8,131
09596,臣,0823,1,2,131
09602,自,0824,1,31,132
09610,至,0825,1,25,133
09611,致,0826,1,8,133
09632,擧,0827,1,7,134
09675,船,0828,1,5,137
09714,良,0829,1,2,138
09758,花,0830,1,6,140
09764,芹,0831,1,9,140
09982,葦,0832,1,26,140
09966,葉,0833,1,3,140
10040,蓋,0834,1,5,140
09985,葬,0835,1,3,140
09846,草,0836,1,11,140
10031,蒼,0837,1,2,140
09961,落,0838,1,5,140
09807,茂,0839,1,5,140
10270,處,0840,1,17,141
10614,行,0841,1,19,144
10636,衢,0842,1,3,144
10698,裂,0843,1,2,145
10637,衣,0844,1,2,145
10806,襲,0845,1,3,145
10729,裹,0846,1,4,145
10658,衾,0847,1,5,145
10683,被,0848,1,3,145
10826,覆,0849,1,5,146
10820,西,0850,1,2,146
10831,見,0851,1,69,147
10848,親,0853,1,3,147
10837,視,0854,1,7,147
10840,覘,0855,1,2,147
10887,觸,0856,1,2,148
10890,言,0857,1,29,149
11095,謂,0858,1,19,149
11085,諸,0859,1,12,149
11028,誰,0860,1,8,149
11017,語,0861,1,5,149
10925,訪,0862,1,4,149
10896,計,0863,1,4,149
11049,請,0864,1,14,149
11018,誠,0865,1,3,149
11020,誤,0866,1,4,149
11008,誓,0867,1,4,149
10975,試,0868,1,5,149
10999,誅,0869,1,2,149
11024,誨,0870,1,2,149
11200,護,0871,1,2,149
10930,許,0872,1,2,149
11022,誥,0873,1,4,149
10965,詛,0874,1,2,149
11205,譽,0875,1,5,149
10928,設,0876,1,5,149
11090,諾,0877,1,2,149
11234,谷,0878,1,2,150
11250,豆,0879,1,7,151
11261,豐,0880,1,30,151
11253,豈,0881,1,5,151
11283,豫,0882,1,3,152
11306,貇,0883,1,2,153
11355,貴,0884,1,11,154
11344,責,0885,1,5,154
11338,貧,0886,1,7,154
11429,贈,0887,1,3,154
11354,貳,0888,1,2,154
11377,賊,0889,1,2,154
11393,賜,0890,1,9,154
11445,赤,0891,1,9,155
11461,起,0892,1,13,156
11708,躡,0893a,2,2,157
11708b,躡,0893b,2,2,157
11548,路,0894,1,3,157
11614,䠙,0895a,2,1,157
11614b,䠙,0895b,2,1,157
11564,踉,0896a,2,1,157
11564b,踉,0896b,2,1,157
11618,蹈,0897,1,2,157
11715,身,0898,1,8,158
11795,載,0899,1,3,159
11782,軻,0900,1,2,159
11801,輔,0901,1,5,159
11918,辱,0902,1,6,161
12000,通,0903,1,2,162
11977,迺,0904,1,5,162
12070,遠,0905,1,7,162
11951,返,0906,1,2,162
12037,遂,0907,1,18,162
12042,遊,0908,1,11,162
12074,遣,0909,1,22,162
12108,還,0910,1,32,162
12091,遵,0911,1,4,162
12103,避,0912,1,12,162
12051,道,0913,1,6,162
12003,速,0914,1,9,162
12052,達,0915,1,4,162
12004,造,0916,1,9,162
12010,連,0917,1,7,162
12022,進,0918,1,11,162
11983,送,0919,1,7,162
12120,邏,0920,1,2,162
11937,迅,0921,1,2,162
11995,途,0922,1,2,162
12223,鄧,0923,1,4,163
12205,鄕,0924,1,7,163
12188,都,0925,1,3,163
12176,部,0926,1,5,163
12282,酢,0927,1,9,164
12263,配,0928,1,5,164
12373,重,0929,1,10,166
12374,野,0930,1,9,166
12386,針,0931,1,2,167
12388,釣,0932,1,6,167
12421,鈿,0933,1,9,167
12441,鉤,0934,1,48,167
12494,鋪,0935,1,2,167
12418,鈴,0936,1,2,167
12613,鏡,0937,1,6,167
12497,鋺,0938,1,5,167
12698,長,0939,1,19,168
12724,間,0940,1,9,169
12773,闌,0941,1,4,169
12709,門,0942,1,8,169
12716,開,0943,1,5,169
12822,防,0944,1,2,170
12887,隈,0945,1,2,170
12898,隔,0946,1,2,170
12838,降,0947,1,34,170
12870,陸,0948,1,2,170
12855,除,0949,1,2,170
12830,阿,0950,1,10,170
12864,陳,0951,1,2,170
12831,陀,0952,1,3,170
13001,離,0953,1,5,172
12991,雖,0954,1,7,172
12965,雉,0955,1,14,172
12963,集,0956,1,4,172
13073,露,0957,1,4,173
13020,雲,0958,1,8,173
13012,雨,0959,1,2,173
13104,非,0960,1,11,175
13293,響,0961,1,2,180
13302,順,0962,1,6,181
13346,頭,0963,1,3,181
13380,顏,0964,1,2,181
13416,顯,0965,1,7,181
13325,頗,0966,1,2,181
13304,須,0967,1,8,181
13391,願,0968,1,2,181
13316,頓,0969,1,5,181
13423,風,0970,1,13,182
13479,飄,0971,1,2,182
13495,飛,0972,1,2,183
13527,飯,0973,1,8,184
13636,饌,0974,1,2,184
13565,餘,0975,1,2,184
13661,首,0976,1,3,185
13667,香,0977,1,3,186
13680,馬,0978,1,2,187
13681,馭,0979a,2,1,187
13681b,馭,0979b,2,1,187
13771,駿,0980,1,2,187
13864,驢,0981,1,2,187
13852,驚,0982,1,3,187
13775,騃,0983,1,2,187
13873,骨,0984,1,2,188
13940,高,0985,1,53,189
14061,鬼,0987,1,2,194
14101,魚,0988,1,13,195
14356,鱷,0989,1,13,195
14213,鯛,0990,1,3,195
14361,鳥,0991,1,6,196
14379,鳴,0992,1,3,196
14537,鶿,0993,1,7,196
14603,鸕,0994,1,7,196
14621,鹿,0995,1,16,198
14645,麗,0996,1,3,198
14828,齊,0997,1,8,210
00154,亦,0998a,2,28,008
00154b,亦,0998b,2,9,008
00282,來,0999a,2,37,009
00282b,來,0999b,2,2,009
00246,佐,1000a,2,1,009
00246b,佐,1000b,2,1,009
02119,娜,1001a,2,2,038
