文字,カード番号,用例数1,用例数2,字体数,大字典番号,部首番号
身,0585,8,,1,11715,158
轉,0586,3,,1,11856,159
辱,0587,2,,1,11918,161
近,0588,8,,1,11948,162
迦,0589,7,,1,11960,162
通,0590,17,,1,12000,162
逝,0591,5,,1,12001,162
進,0592,3,,1,12022,162
遊,0593,3,,1,12042,162
過,0594,10,,1,12046,162
道,0595,22,,1,12051,162
遠,0596,6,,1,12070,162
遣,0597,8,,1,12074,162
還,0598,2,,1,12108,162
那,0599,11,,1,12134,163
醉,0600,2,,1,12313,164
重,0601,13,,1,12373,166
量,0602,28,,1,12376,166
鑿,0603,2,,1,12694,167
長,0604,6,,1,12698,168
開,0605,2,,1,12716,169
閑,0606,3,,1,12722,169
間,0607,14,,1,12724,169
闥,0608,2,,1,12800,169
阿,0609-0610,52,,1,12830,170
陀,0611,4,,1,12831,170
陳,0612,3,,1,12864,170
隨,0613,8,,1,12927,170
集,0614,2,,1,12963,172
雖,0615,2,,1,12991,172
難,0616,20,,1,13002,172
非,0617,3,,1,13104,175
面,0618,6,,1,13108,176
音,0619,2,,1,13281,180
順,0620,3,,1,13302,181
須,0621,9,,1,13304,181
頭,0622,4,,1,13346,181
願,0623,12,,1,13391,181
類,0624,3,,1,13398,181
食,0625,8,,1,13503,184
養,0626,28,,1,13551,184
餘,0627,5,,1,13565,184
饌,0628,2,,1,13636,184
13586y2,0629,2,,1,13586y2,184
饒,0630,3,,1,13641,184
香,0631,15,,1,13667,186
驕,0632,3,,1,13845,187
驚,0633,2,,1,13852,187
高,0634,3,,1,13940,189
鬼,0635,2,,1,14061,194
龍,0636,3,,1,14876,212
乾,0637,2,2,2,00118,005
伎,0638,3,1,2,00216,009
充,0639,2,1,2,00562,010
具,0640,13,1,2,00606,012
功,0641,5,3,2,00857,019
土,0642,24,1,2,01654,032
懈,0643,2,1,2,03549,061
最,0644,4,1,2,04664,073
槃,0645,3,1,2,05228,075
發,0646,3,1,2,07707,105
究,0647,2,1,2,08293,116
與,0648,7,6,2,09629,134
蹈,0649,1,1,2,11618,157
達,0650,1,1,2,12052,162
