統合ID,文字,P2334,字体数,用例数,部首
05812,毀,0426,1,2,079
05841,比,0427,1,14,081
05952,水,0428,1,6,085
05964,求,0429a,2,12,085
05964b,求,0429b,2,1,085
05983,汝,0430,1,18,085
06003,決,0431,1,5,085
06031,沙,0432,1,6,085
06045,河,0433,1,4,085
06058,況,0434,1,3,085
06074,法,0435,1,100,085
06088,泥,0437,1,2,085
06182,海,0438,1,4,085
06189,涅,0439,1,4,085
06272,淨,0440,1,21,085
06285,深,0441,1,3,085
06290,清,0442,1,10,085
06338,渴,0443,1,2,085
06432,滅,0444,1,17,085
06476,滿,0445,1,7,085
06490,演,0446,1,3,085
06499,漢,0447,1,5,085
06509,漯,0448,1,2,085
06517,漸,0449,1,6,085
06872,無,0450,1,83,086
06885,然,0452,1,7,086
06978,燒,0453,1,3,086
07032,爲,0454,1,64,087
07043,爾,0456,1,25,089
07203,猶,0457,1,5,094
07241,獲,0458,1,3,094
07250,獻,0459,1,2,094
07262,王,0460,1,25,096
07290,珞,0461,1,2,096
07291,珠,0462,1,7,096
07304,現,0463,1,12,096
07415,瓦,0464,1,2,098
07456,甘,0465,1,2,099
07457,甚,0466,1,13,099
07461,生,0467,1,35,100
07479,由,0468,1,2,102
07483,男,0469,1,5,102
07501,界,0470,1,3,102
07503,畏,0471,1,6,102
07530,異,0472,1,3,102
07535,當,0473,1,45,102
07559,疑,0474,1,5,103
07710,百,0475,1,7,106
07717,皆,0476,1,22,106
07759,益,0477,1,3,108
07779,盡,0478,1,3,108
07801,相,0479,1,8,109
07827,眞,0480,1,2,109
07844,眾,0481,1,55,109
07907,瞻,0483,1,3,109
M23523,睺,0484,1,7,109
07941,知,0485,1,45,111
07954,石,0486,1,2,112
08097,示,0487,1,8,113
08107,祇,0488,1,7,113
08116,祕,0489,1,2,113
08124,神,0490,1,12,113
08162,禪,0491,1,2,113
08165,禮,0492,1,6,113
08244,種,0493,1,17,115
08248,稱,0494,1,2,115
08296,空,0495,1,9,116
08300,穿,0496,1,2,116
08354,立,0497,1,5,117
08365,竟,0498,1,3,117
08412,第,0499,1,8,118
08426,等,0500,1,44,118
08469,算,0501,1,2,118
08685,精,0502,1,4,119
08817,絡,0503,1,2,120
08856,經,0504,1,50,120
08924,緣,0505,1,5,120
09011,繒,0506,1,4,120
09030,繋,0507,1,4,120
09072,纓,0508,1,3,120
09125,罪,0509,1,4,122
09132,罵,0510,1,3,122
09144,羅,0511,1,47,122
09155,美,0512,1,2,123
09177,義,0513,1,9,123
09214,習,0514,1,2,124
09255,者,0515,1,51,125
09264,而,0517,1,48,126
09286,耨,0518,1,21,127
09292,耶,0519,1,2,128
09314,聚,0520,1,2,128
09315,聞,0521,1,48,128
09328,聲,0522,1,18,128
09335,聽,0523,1,7,128
09370,肩,0524,1,2,130
09429,能,0525,1,25,130
09462,脩,0526,1,7,130
09463,脱,0527,1,3,130
09599,臥,0528,1,3,131
09602,自,0529,1,32,132
09610,至,0530,1,11,133
09621,臾,0531,1,5,134
09715,艱,0532,1,3,138
09716,色,0533,1,3,139
09788,若,0534,1,45,140
09789,苦,0535,1,2,140
09869,莊,0536,1,9,140
09919,菩,0537,1,52,140
09921,華,0539,1,29,140
09954,萬,0540,1,12,140
09966,葉,0541,1,5,140
09972,著,0542,1,4,140
10040,蓋,0543,1,4,140
10163,薩,0544,1,31,140
10191,藏,0545,1,9,140
10192,藐,0546,1,22,140
10204,藥,0547,1,19,140
10270,處,0548,1,11,141
10276,號,0549,1,11,141
10614,行,0550,1,20,144
10637,衣,0551,1,17,145
10703,裏,0552,1,4,145
10831,見,0553,1,28,147
10848,親,0554,1,6,147
10856,覺,0555,1,11,147
10859,觀,0556,1,2,147
10875,解,0557,1,14,148
10890,言,0558,1,18,149
10896,計,0559,1,3,149
10914,記,0560,1,18,149
10928,設,0561,1,2,149
10936,訶,0562,1,2,149
11023,誦,0563,1,10,149
11025,説,0564,1,64,149
11038,調,0566,1,5,149
11072,諦,0567,1,3,149
11085,諸,0568,1,72,149
11095,謂,0570,1,5,149
11171,識,0571,1,2,149
11189,譬,0572,1,3,149
11200,護,0573,1,19,149
11207,讀,0574,1,11,149
11229,讚,0575,1,5,149
11338,貧,0576,1,3,154
11344,責,0577,1,2,154
11373,資,0578,1,2,154
11374,賈,0579,1,4,154
11397,賢,0580,1,2,154
11461,起,0581,1,8,156
11495,足,0582,1,24,157
11565,踊,0583,1,3,157
11689,躍,0584,1,3,157
11715,身,0585,1,8,158
11856,轉,0586,1,3,159
11918,辱,0587,1,2,161
11948,近,0588,1,8,162
11960,迦,0589,1,7,162
12000,通,0590,1,17,162
12001,逝,0591,1,5,162
