カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0447,覺,1,15,,10856,147
0448,觀,1,15,,10859,147
0449,見,1,22,,10831,147
0450-0451,解,1,63,,10875,148
0452,言,1,14,,10890,149
0453,詣,1,2,,10974,149
0454,議,1,8,,11195,149
0455,調,1,11,,11038,149
0456,護,1,4,,11200,149
0457,語,1,11,,11017,149
0458,記,1,3,,10914,149
0459,説,1,19,,11025,149
0460,識,1,2,,11171,149
0461,訶,1,23,,10936,149
0462-0464,諸,1,104,,11085,149
0465,讚,1,2,,11229,149
0466,賢,1,49,,11397,154
0467,起,1,4,,11461,156
0468,趣,1,5,,11485,156
0469-0470,足,1,62,,11495,157
0471,身,1,34,,11715,158
0472,輕,1,10,,11802,159
0473,轉,1,12,,11856,159
0474,輪,1,5,,11827,159
0475,辭,1,2,,11914,160
0476,辯,1,3,,11916,160
0477,道,1,20,,12051,162
0478,03157,1,4,,03157,060
0479,退,1,10,,11982,162
0480,遊,1,3,,12042,162
0481,邊,1,14,,12115,162
0482,進,1,4,,12022,162
0483,過,1,4,,12046,162
0484,通,1,3,,12000,162
0485,遠,1,7,,12070,162
0486,達,1,2,,12052,162
0487,違,1,6,,12054,162
0488-0489,量,1,66,,12376,166
0490,金,1,4,,12380,167
0491,長,1,6,,12698,168
0492,闇,1,2,,12768,169
0493,閼,1,5,,12758,169
0494,門,1,12,,12709,169
0495,開,1,2,,12716,169
0496,間,1,15,,12724,169
0497,障,1,8,,12914,170
0498,際,1,8,,12913,170
0499,陀,1,5,,12831,170
0500,除,1,11,,12855,170
0501,隨,1,20,,12927,170
0502,阿,1,2,,12830,170
0503,離,1,47,,13001,172
0504,集,1,2,,12963,172
0505,雲,1,3,,13020,173
0506,靜,1,3,,13103,174
0507,非,1,11,,13104,175
0508,音,1,9,,13281,180
0509,順,1,19,,13302,181
0510,願,2,13,1,13391,181
0511,頃,1,2,,13297,181
0512,餘,1,5,,13565,184
0513,養,1,5,,13551,184
0514,饒,1,2,,13641,184
0515,魔,1,2,,14088,194
0516-0518,亦,2,115,2,00154,008
0519,休,2,5,1,00219,009
0520,寂,2,6,1,02357,040
