統合ID,文字,古麗華20,字体数,用例数,部首
04485,明,0324,1,14,072
04512,是,0325,1,39,072
04505,昧,0326,1,9,072
04661,曾,0327,1,8,073
04673,月,0328,1,6,074
04674,有,0329,1,24,074
04848,染,0330,1,5,075
05152,業,0331,1,32,075
05279,樂,0332,1,38,075
04711,未,0333,1,18,075
04922,根,0334,1,222,075
05580,欲,0339,1,5,076
05644,此,0340,1,38,077
05643,正,0341,1,27,077
05666,歳,0342,1,2,077
05686,死,0343,1,5,078
05841,比,0344,1,2,081
05850,毛,0345,1,5,082
06290,清,0346,1,42,085
06003,決,0347,1,2,085
06617,濁,0348,1,2,085
06476,滿,0349,1,44,085
06272,淨,0350,1,63,085
06487,漏,0352,1,2,085
06490,演,0353,1,3,085
06074,法,0354,1,139,085
06432,滅,0357,1,15,085
05964,求,0358,1,4,085
06182,海,0359,1,2,085
05957,永,0360,1,5,085
06872,無,0361,1,301,086
06969,燃,0368,1,3,086
06918,照,0369a,2,11,086
06918b,照,0369b,2,3,086
06921,煩,0370,1,7,086
06965,熾,0371,1,3,086
07032,爲,0372,1,15,087
07043,爾,0373,1,99,089
01088,厭,0375,1,2,027
07203,猶,0376,1,5,094
07180,猛,0377,1,4,094
07262,王,0378,1,6,096
07304,現,0379,1,30,096
07457,甚,0380,1,4,099
07461,生,0381,1,148,100
07503,畏,0384,1,5,102
07530,異,0385,1,3,102
07501,界,0386,1,71,102
07685,癡,0388,1,10,104
07707,發,0389,1,4,105
07717,皆,0390,1,23,106
07709,白,0391,1,3,106
07759,益,0392,1,4,108
07779,盡,0393,1,31,108
07801,相,0394,1,18,109
07844,眾,0395,1,121,109
07843,眼,0398,1,6,109
07827,眞,0399,1,10,109
07941,知,0400,1,14,111
08097,示,0401,1,18,113
08124,神,0402,1,21,113
08165,禮,0403,1,2,113
08244,種,0404,1,48,115
08293,究,0405,1,18,116
08329,窮,0406,1,5,116
08296,空,0407,1,8,116
08365,竟,0408,1,18,117
08354,立,0409,1,3,117
08412,第,0410,1,5,118
08426,等,0411,1,43,118
08685,精,0412,1,4,119
08963,縛,0413,1,49,120
09030,繋,0414,1,2,120
09144,羅,0415,1,6,122
09128,置,0416,1,3,122
09177,義,0417,1,5,123
09214,習,0418,1,26,124
09255,者,0419,1,4,125
09264,而,0420,1,15,126
09315,聞,0421,1,6,128
09328,聲,0422,1,6,128
09429,能,0423,1,51,130
09463,脱,0425,1,52,130
09602,自,0427,1,43,132
09610,至,0428,1,7,133
09629,與,0429,1,2,134
09972,著,0430,1,62,140
09788,若,0432,1,6,140
10163,薩,0433,1,126,140
09919,菩,0436,1,111,140
09921,華,0439,1,2,140
09869,莊,0440,1,12,140
10191,藏,0441,1,7,140
10272,虛,0442,1,15,141
10270,處,0443,1,13,141
10614,行,0444,1,63,144
10826,覆,0446,1,2,146
10856,覺,0447,1,15,147
10859,觀,0448,1,15,147
10831,見,0449,1,22,147
10875,解,0450,1,63,148
10890,言,0452,1,14,149
10974,詣,0453,1,2,149
11195,議,0454,1,8,149
11038,調,0455,1,11,149
11200,護,0456,1,4,149
11017,語,0457,1,11,149
10914,記,0458,1,3,149
11025,説,0459,1,19,149
11171,識,0460,1,2,149
10936,訶,0461,1,23,149
11085,諸,0462,1,104,149
11229,讚,0465,1,2,149
11397,賢,0466,1,49,154
11461,起,0467,1,4,156
11485,趣,0468,1,5,156
11495,足,0469,1,62,157
11715,身,0471,1,34,158
11802,輕,0472,1,10,159
11856,轉,0473,1,12,159
11827,輪,0474,1,5,159
11914,辭,0475,1,2,160
11916,辯,0476,1,3,160
12051,道,0477,1,20,162
03157,徧,0478,1,4,060
11982,退,0479,1,10,162
12042,遊,0480,1,3,162
12115,邊,0481,1,14,162
12022,進,0482,1,4,162
12046,過,0483,1,4,162
12000,通,0484,1,3,162
12070,遠,0485,1,7,162
12052,達,0486,1,2,162
12054,違,0487,1,6,162
12376,量,0488,1,66,166
12380,金,0490,1,4,167
12698,長,0491,1,6,168
12768,闇,0492,1,2,169
12758,閼,0493,1,5,169
12709,門,0494,1,12,169
12716,開,0495,1,2,169
12724,間,0496,1,15,169
12914,障,0497,1,8,170
12913,際,0498,1,8,170
12831,陀,0499,1,5,170
12855,除,0500,1,11,170
12927,隨,0501,1,20,170
12830,阿,0502,1,2,170
13001,離,0503,1,47,172
12963,集,0504,1,2,172
13020,雲,0505,1,3,173
13103,靜,0506,1,3,174
13104,非,0507,1,11,175
13281,音,0508,1,9,180
13302,順,0509,1,19,181
13391,願,0510a,2,13,181
13391b,願,0510b,2,1,181
13297,頃,0511,1,2,181
13565,餘,0512,1,5,184
13551,養,0513,1,5,184
13641,饒,0514,1,2,184
14088,魔,0515,1,2,194
00154,亦,0516a,2,115,008
00154b,亦,0516b,2,2,008
00219,休,0519a,2,5,009
00219b,休,0519b,2,1,009
02357,寂,0520a,2,6,040
02357b,寂,0520b,2,1,040
03214,念,0521a,2,29,061
03214b,念,0521b,2,3,061
03617,或,0522a,2,3,062
03617b,或,0522b,2,1,062
04085,擇,0523a,2,1,064
04085b,擇,0523b,2,1,064
04391,施,0524a,2,2,070
04391b,施,0524b,2,1,070
04664,最,0525a,2,3,073
04664b,最,0525b,2,2,073
06285,深,0526a,2,12,085
06285b,深,0526b,2,4,085
07799,直,0527a,2,6,109
07799b,直,0527b,2,2,109
09462,脩,0528a,2,47,130
09462b,脩,0528b,2,1,130
12035,遁,0529a,2,2,162
12035b,遁,0529b,2,2,162
