統一ID,文字,カード番号,字体数,用例数,部首
09286,耨,0354,1,2,127
09429,能,0355,1,12,130
09602,自,0356,1,2,132
09610,至,0357,1,3,133
09611,致,0358,1,6,133
09632,擧,0359,1,9,134
09638,舍,0360,1,3,135
09758,花,0361,1,3,140
10251,蘭,0362,1,3,140
10191,藏,0363,1,3,140
10163,薩,0364,1,14,140
09747,芥,0365,1,10,140
10204,藥,0366,1,3,140
09976,葛,0367,1,22,140
09788,若,0368a,2,31,140
09788b,若,0368b,2,4,140
10275,虞,0369,1,5,141
10270,處,0370,1,7,141
10614,行,0371,1,11,144
10875,解,0372,1,2,148
10890,言,0373,1,4,149
11005,11005,0374,1,12,149
10912,訖,0375,1,13,149
10921,訥,0376,1,4,149
11085,諸,0377,1,11,149
11200,護,0378,1,5,149
11023,誦,0379,1,40,149
11275,象,0380,1,2,152
11364,賀,0381,1,13,154
11432,贊,0382,1,2,154
11448,赧,0383,1,4,155
11536,11536,0384,1,3,157
11548,路,0385,1,18,157
11619,蹉,0386,1,2,157
11715,身,0387,1,5,158
11841,輸,0388,1,2,159
12093,遷,0389,1,2,162
12108,還,0390,1,4,162
12074,遣,0391a,2,2,162
12074b,遣,0391b,2,1,162
11974,迷,0392,1,5,162
12139,邪,0393,1,2,163
12188,都,0394,1,3,163
12134,那,0395,1,53,163
12176,部,0397,1,3,163
12284,12284,0398,1,30,１64
12374,野,0400,1,12,166
12440,鉢,0401,1,47,167
M55984,鑁,0402,1,3,167
12758,閼,0403,1,2,169
12854,陣,0404,1,2,170
12927,隨,0405,1,11,170
12830,阿,0406,1,20,170
12855,除,0407,1,8,170
13001,離,0408,1,4,172
13002,難,0409a,2,1,172
13002b,難,0409b,2,1,172
13375,13375,0410,1,15,181
13296,頂,0411,1,2,181
13551,養,0412,1,2,184
13667,香,0413,1,35,186
14876,龍,0414,1,2,212
01127,取,0415a,2,1,029
01127b,取,0415b,2,1,029
01569,01569,0416a,2,43,030
01569b,01569,0416b,2,1,030
M04549,M04549,0417a,2,6,030
M04549b,M04549,0417b,2,1,030
01595,嚢,0418a,2,4,030
01595b,嚢,0418b,2,1,030
01863,墮,0419a,2,1,032
01863b,墮,0419b,2,1,032
01961,夷,0420a,2,1,037
01961b,夷,0420b,2,1,037
02295,02295,0421a,2,9,039
02295b,02295,0421b,2,7,039
02309,安,0422a,2,33,040
02309b,安,0422b,2,1,040
02473,尼,0423a,2,3,044
02473b,尼,0423b,2,2,044
04298,數,0424a,2,1,066
04298b,數,0424b,2,1,066
04660,曼,0425a,2,21,073
04660b,曼,0425b,2,1,073
04690,朗,0426a,2,12,074
04690b,朗,0426b,2,1,074
05580,欲,0427a,2,27,076
05580b,欲,0427b,2,3,076
06023,沒,0428a,2,4,085
06023b,沒,0428b,2,3,085
07043,爾,0429,1,2,089
08426,等,0430a,2,5,118
08426b,等,0430b,2,1,118
09030,繋,0431a,2,1,120
09030b,繋,0431b,2,1,120
09568,臂,0432a,2,1,130
09568b,臂,0432b,2,1,130
09629,與,0433a,2,2,134
09629b,與,0433b,2,1,134
10231,蘇,0434a,2,14,140
10231b,蘇,0434b,2,1,140
10928,設,0435a,2,9,149
10928b,設,0435b,2,7,149
11025,説,0436a,2,8,149
11025b,説,0436b,2,8,149
13708,駄,0437a,2,24,187
13708b,駄,0437b,2,7,187
06272,淨,0438a,3,3,085
06272b,淨,0438b,3,1,085
06272c,淨,0438c,3,1,085
02464,就,0439a,3,13,043
02464b,就,0439b,3,1,043
02464c,就,0439c,3,1,043
00260,00260,0440,1,8,009
