統合ID,文字,S81,字体数,用例数,部首
13079,霹,0300,0,1,173
13103,靜,0301,0,1,174
13179,鞠,0302,0,1,177
13380,顏,0303,0,1,181
13409,顧,0304,0,1,181
13416,顯,0305,0,1,181
13542,飾,0306,0,1,184
13630,饉,0307,0,1,184
13661,首,0308,0,1,185
13678,馨,0309,0,1,186
13732,駝,0310,0,1,187
13864,驢,0311,0,1,187
13873,骨,0312,0,1,188
13890,骸,0313,0,1,188
13923,髏,0314,0,1,188
13929,髑,0315,0,1,188
13940,高,0316,0,1,189
14039,鬱,0317,0,1,192
14378,鳳,0318,0,1,196
14614,鹹,0319,0,1,197
14661,麥,0320,0,1,199
14681,麻,0321,0,1,200
14699,黍,0322,0,1,202
未詳文字1,,0323,0,1,000
未詳文字2,,0324,0,1,000
00001,一,0325,1,69,001
00004,七,0326,1,6,001
00007,三,0327,1,41,001
00008,上,0328,1,16,001
00009,下,0329,1,8,001
00013,不,0330,1,160,001
00025,世,0331,1,42,001
00051,中,0332,1,27,002
00070,主,0333,1,2,003
00078,乃,0334,1,5,004
00085,久,0335,1,2,004
00088,之,0336,1,65,004
00102,乘,0337,1,14,004
00108,乞,0338,1,2,005
00109,也,0339,1,8,005
00129,二,0340,1,18,007
00132,于,0341,1,2,007
00133,云,0342,1,4,007
00134,互,0343,1,3,007
00135,五,0344,1,14,007
00154,亦,0345,1,46,008
00168,人,0346,1,71,009
00183,他,0347,1,11,009
00193,令,0348,1,18,009
00194,以,0349,1,54,009
00199,仰,0350,1,2,009
00216,伎,0351,1,3,009
00236,伽,0352,1,3,009
00250,何,0353,1,17,009
00255,佛,0354,1,37,009
00279,使,0355,1,2,009
00282,來,0356,1,63,009
00299,供,0357,1,6,009
00321,便,0358,1,11,009
00345,信,0359,1,11,009
00378,倚,0360,1,3,009
00385,値,0361,1,8,009
00406,偈,0362,1,3,009
00429,側,0364,1,2,009
00432,偷,0365,1,2,009
00475,傾,0366,1,2,009
00493,僕,0367,1,2,009
00503,僧,0368,1,7,009
00516,儀,0369,1,3,009
00520,億,0370,1,2,009
00542,優,0371,1,4,009
00566,先,0372,1,2,010
00567,光,0373,1,15,010
00574,兒,0374,1,4,010
00582,入,0375,1,15,011
00591,兩,0376,1,3,011
00594,八,0377,1,7,012
00597,六,0378,1,4,012
00599,共,0379,1,4,012
00605,其,0380,1,28,012
00606,具,0381,1,11,012
00608,典,0382,1,5,012
00701,凡,0383,1,5,016
00723,出,0384,1,18,017
00729,刀,0385,1,2,018
00734,分,0386,1,9,018
00735,切,0387,1,19,018
00759,初,0388,1,2,018
00763,別,0389,1,5,018
00767,利,0390,1,18,018
00769,到,0391,1,2,018
00776,制,0392,1,2,018
00781,刹,0393,1,15,018
00782,刺,0394,1,2,018
00787,剃,0395,1,2,018
00789,則,0396,1,6,018
00794,前,0397,1,4,018
00803,剛,0398,1,5,018
00820,割,0399,1,2,018
00856,力,0400,1,46,019
