統合ID,文字,開成周易,字体数,用例数,部首
02795,巽,0781,1,39,049
02792,巷,0782,1,2,049
02847,常,0783,1,17,050
02828,帥,0784,1,2,050
02835,師,0785,1,24,050
02820,帝,0786,1,10,050
02799,市,0787,1,2,050
02899,平,0788,1,7,051
02905,幹,0789,1,10,051
02900,年,0790,1,7,051
02915,幾,0791,1,13,052
02912,幽,0792,1,10,052
02928,序,0793,1,5,053
02944,度,0794,1,5,053
02992,廢,0795,1,2,053
02952,庭,0796,1,9,053
02963,庸,0797,1,2,053
02989,廟,0798,1,6,053
02962,康,0799,1,2,053
02999,廬,0800,0,1,053
02936,庚,0801,1,2,053
02961,庶,0802,1,5,053
02993,廣,0803,1,6,053
03006,建,0804,1,6,054
03039,弑,0805,1,2,056
03046,弗,0806,1,23,057
03064,弱,0807,1,5,057
03084,彌,0808,1,2,057
03081,彊,0809,1,2,057
03052,弟,0810,1,4,057
03056,弧,0811,1,4,057
03044,引,0812,1,6,057
03042,弓,0813,1,2,057
03097,彙,0814,1,2,058
03093,彖,0815,1,75,058
03101,形,0817,1,10,059
03113,彭,0818,1,2,059
03123,役,0819,1,2,060
03143,徒,0820,1,2,060
03141,徐,0821,1,6,060
03132,待,0822,1,7,060
03165,微,0823,1,4,060
03138,後,0824,1,51,060
03124,彼,0825,1,2,060
03137,律,0826,1,4,060
03151,從,0827,1,33,060
03172,德,0828,1,82,060
03145,得,0830,1,134,060
03159,復,0833,1,44,060
03129,征,0834,1,29,060
03153,御,0835,1,4,060
03128,往,0836,1,106,060
03381,惻,0838,1,2,061
03390,愆,0839,1,2,061
03188,忒,0840,1,2,061
03272,恐,0841,1,2,061
03585,懷,0842,1,2,061
03297,恭,0843,1,3,061
03474,慶,0844,1,11,061
03208,快,0845,1,3,061
03339,悶,0846,1,3,061
03288,恤,0847,1,9,061
03267,恆,0848,1,29,061
03359,惕,0849,1,9,061
03429,愼,0850,1,10,061
03321,悖,0851,1,4,061
03579,懲,0852,1,3,061
03366,惠,0853,1,4,061
03355,惑,0854,1,2,061
03248,怪,0855,1,2,061
03329,患,0856,1,6,061
03320,悔,0857,1,59,061
03550,應,0858,1,45,061
03405,愛,0859,1,5,061
03458,慢,0860,1,3,061
03367,惡,0861,1,13,061
03239,思,0862,1,16,061
03395,意,0863,1,21,061
03589,懼,0864,1,9,061
03409,感,0865,1,10,061
03348,情,0866,1,22,061
03180,必,0867,1,45,061
03179,心,0868,1,30,061
03466,慮,0869,1,5,061
03183,忌,0870,1,2,061
03194,志,0871,1,70,061
03196,忘,0873,1,16,061
03486,憂,0874,1,21,061
03244,性,0875,1,6,061
03298,息,0876,1,8,061
03418,愬,0877,1,4,061
03519,憧,0878,1,6,061
03633,戰,0879,1,5,062
