カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0766,興,12,,,1,134,09630
0767,舍,7,,,1,135,09638
0768,蓋,7,,,1,140,10040
0769,莫,3,,,1,140,09886
0770,苦,8,,,1,140,09789
0771,若,25,,,1,140,09788
0772,藏,8,,,1,140,10191
0773,著,4,2,,2,140,09972
0774,華,6,,,1,140,09921
0775,蓮,2,,,1,140,10050
0776-0777,菩,55,,,1,140,09919
0778-0779,薩,53,,,1,140,10163
0780,茂,3,,,1,140,09807
0781,葉,3,,,1,140,09966
0782,藥,4,,,1,140,10204
0783,處,13,,,1,141,10270
0784,虚,8,,,1,141,10272
0785-0786,行,53,,,1,144,10614
0787,術,2,,,1,144,10618
0788,衞,5,,,1,144,10630
0789,被,2,,,1,145,10683
0790,衣,5,,,1,145,10637
0791,裏,2,,,1,145,10703
0792,要,5,,,1,146,10822
0793,西,2,,,1,146,10820
0794,覆,2,,,1,146,10826
0795,見,27,,,1,147,10831
0796,親,4,,,1,147,10848
0797,觀,16,,,1,147,10859
0798,解,11,,,1,148,10875
0799,詣,8,,,1,149,10974
0800,護,17,2,,2,149,11200
0801,計,8,,,1,149,10896
0802,誦,5,,,1,149,11023
0803,語,2,,,1,149,11017
0804,識,3,,,1,149,11171
0805,謂,10,,,1,149,11095
0806,言,16,,,1,149,10890
0807,説,30,,,1,149,11025
0808,誹,4,,,1,149,11035
0809,謗,4,,,1,149,11116
0810,諷,4,,,1,149,11084
0811,講,5,,,1,149,11119
0812,訓,3,,,1,149,10909
0813-0814,諸,63,,,1,149,11085
0815,諦,5,,,1,149,11072
0816,譬,3,,,1,149,11189
0817,調,2,,,1,149,11038
0818,誓,2,,,1,149,11008
0819,賢,3,,,1,154,11397
0820,財,3,,,1,154,11334
0821,貧,2,,,1,154,11338
0822,起,14,,,1,156,11461
0823,趣,7,,,1,156,11485
0824,足,11,,,1,157,11495
0825,路,3,,,1,157,11548
0826,身,19,,,1,158,11715
0827,輩,2,,,1,159,11826
0828,輪,5,,,1,159,11827
0829,轉,11,,,1,159,11856
0830,輕,4,,,1,159,11802
0831,返,3,,,1,162,11951
0832,迷,4,,,1,162,11974
0833-0834,道,64,,,1,162,12051
0835,達,6,,,1,162,12052
0836,逮,22,,,1,162,12019
0837,進,12,,,1,162,12022
0838,造,7,,,1,162,12004
0839,通,12,,,1,162,12000
0840,過,6,,,1,162,12046
0841,還,4,,,1,162,12108
0842,遊,4,,,1,162,12042
0843,遠,5,,,1,162,12070
0844,退,4,,,1,162,11982
0845,逸,3,,,1,162,12027
0846,連,7,,,1,162,12010
0847,邊,3,,,1,162,12115
0848,迦,2,,,1,162,11960
0849,遣,3,,,1,162,12074
0850,那,2,,,1,163,12134
0851,部,2,,,1,163,12176
0852,醫,3,,,1,164,12341
0853,量,13,,,1,166,12376
0854,重,3,,,1,166,12373
0855,金,2,,,1,167,12380
0856,長,14,,,1,168,12698
0857,門,10,,,1,169,12709
0858,開,10,,,1,169,12716
0859,閣,3,,,1,169,12739
0860,閑,3,,,1,169,12722
0861,降,3,,,1,170,12838
0862,陰,3,,,1,170,12862
0863,阿,8,,,1,170,12830
0864,除,7,,,1,170,12855
0865,限,7,,,1,170,12839
0866,隱,3,,,1,170,12935
0867,際,9,1,,2,170,12913
0868,隆,2,,,1,170,12886
0869,隨,8,,,1,170,12927
0870,難,15,,,1,172,13002
0871,集,2,,,1,172,12963
0872,離,11,,,1,172,13001
0873,雷,2,,,1,173,13023
0874,雨,4,,,1,173,13012
0875,靡,3,,,1,175,13107
0876,面,2,,,1,176,13108
0877,鞅,3,,,1,177,13150
0878,音,18,,,1,180,13281
0879,須,2,,,1,181,13304
0880,頌,9,,,1,181,13307
0881,顯,4,,,1,181,13416
0882,願,5,,,1,181,13391
0883,類,7,,,1,181,13398
0884,順,9,,,1,181,13302
0885,風,2,,,1,182,13423
0886,食,2,,,1,184,13503
0887,養,18,,,1,184,13551
0888,餘,10,,,1,184,13565
0889,餓,3,,,1,184,13559
