,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
04600,暢,0577,1,4,072
04557,普,0578,1,9,072
04505,昧,0579,1,44,072
04485,明,0580,1,15,072
04499,星,0581,1,2,072
04636,曜,0582,1,2,072
04569,智,0583,1,10,072
04542,晝,0584,1,2,072
04512,是,0585,1,117,072
04523,時,0588,1,50,072
04623,曉,0589,1,4,072
04650,曰,0590,1,30,073
04667,會,0591,1,11,073
04661,曾,0592,1,8,073
04657,書,0593,1,4,073
04664,最,0594,1,8,073
04673,月,0595,1,5,074
04674,有,0596,1,256,074
04679,服,0602,1,3,074
05161,極,0603,1,221,075
04713,本,0608,1,16,075
05279,樂,0609,1,23,075
04922,根,0610,1,8,075
05529,權,0611,1,6,075
04806,果,0612,1,2,075
05010,梵,0613,1,2,075
04849,柔,0614,1,2,075
05014,棄,0615,1,6,075
05323,樹,0616,1,3,075
05152,業,0617,1,18,075
04712,末,0618,1,6,075
04711,未,0619,1,7,075
05612,歎,0620,1,5,076
05580,欲,0621,1,23,076
05676,歸,0622,1,7,077
05666,歳,0623,1,3,077
05641,止,0624,1,5,077
05644,此,0625,1,11,077
05645,步,0626,1,2,077
05643,正,0627,1,33,077
05717,殊,0628,1,5,078
05686,死,0629,1,14,078
05841,比,0630,1,7,081
06074,法,0631,1,66,085
06487,漏,0633,1,3,085
06476,滿,0634,1,5,085
06272,淨,0635,1,21,085
06432,滅,0636,1,4,085
06023,沒,0637,1,2,085
06517,漸,0638,1,3,085
06285,深,0639,1,3,085
06182,海,0640,1,4,085
06338,渴,0641,1,2,085
06290,清,0642,1,6,085
05952,水,0643,1,4,085
06031,沙,0644,1,11,085
05964,求,0645,1,10,085
06192,消,0646,1,9,085
06151,流,0647,1,5,085
06617,濁,0648,1,2,085
06422,溺,0649,1,2,085
06003,決,0650,1,4,085
05985,江,0651,1,6,085
06641,濟,0652,1,7,085
06091,注,0653,1,3,085
06246,淑,0654,1,2,085
06872,無,0655,1,357,086
06885,然,0663,1,21,086
06957,熱,0664,1,4,086
06981,燕,0665,1,3,086
06918,照,0666,1,3,086
07032,爲,0667,1,49,087
07043,爾,0668,1,9,089
07086,特,0669,1,3,093
07080,物,0670,1,4,093
07087,牽,0671,1,2,093
07135,狐,0672,1,2,094
07241,獲,0673,1,2,094
07112,犯,0674,1,2,094
07230,獨,0675,1,6,094
07212,獄,0676,1,5,094
07180,猛,0677,1,3,094
07256,玄,0678,1,4,095
