,,kak_開成孝経,kak_開成孝経,kak_開成孝経,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
13416,顯,0245,0,1,181
09243,翻,0246,0,1,124
13565,餘,0247,0,1,184
13773,騁,0248,0,1,187
13724,駕,0249,0,1,187
13752,駮,0250,0,1,187
13934,體,0251,0,1,188
13959,髮,0252,0,1,190
14274,鰥,0253,0,1,195
14116,魯,0254,0,1,195
00013,不,0255,1,55,001
00008,上,0256,1,11,001
00025,世,0257,1,2,001
00009,下,0258,1,17,001
00007,三,0259,1,5,001
00001,一,0260,1,4,001
00020,且,0261,1,3,001
00051,中,0262,1,2,002
00088,之,0263,1,100,004
00109,也,0265,1,45,005
00121,亂,0266,1,4,005
00128,事,0267,1,26,006
00092,乎,0268,1,11,004
00133,云,0269,1,10,007
00132,于,0270,1,3,007
00135,五,0271,1,5,007
00156,享,0272,1,2,008
00455,備,0273,1,3,009
00194,以,0274,1,54,009
00313,侯,0275,1,3,009
00468,傳,0276,1,3,009
00473,傷,0277,1,2,009
00183,他,0278,1,2,009
00168,人,0279,1,27,009
00250,何,0280,1,5,009
00342,保,0281,1,2,009
00256,作,0282,1,2,009
00282,來,0283,1,2,009
00193,令,0284,1,3,009
00566,先,0285,1,11,010
00581,兢,0286,1,2,010
00564,兆,0287,1,2,010
00561,兄,0288,1,4,010
00605,其,0289,1,43,012
00596,公,0290,1,3,012
00763,別,0291,1,2,018
00746,刑,0292,1,3,018
00840,劉,0293,1,2,018
00789,則,0294,1,27,018
00858,加,0295,1,3,019
01035,危,0296,1,2,026
01127,取,0297,1,3,029
01111,及,0298,1,2,029
01108,又,0299,1,3,029
01395,善,0300,1,5,030
01174,同,0301,1,3,030
01430,喪,0302,1,2,030
01295,哀,0303,1,4,030
01175,名,0304,1,4,030
01185,君,0305,1,19,030
01154,可,0306,1,13,030
01581,嚴,0307,1,7,030
01263,和,0308,1,4,030
01217,吾,0309,1,2,030
01141,口,0310,1,2,030
01235,周,0311,1,2,030
01639,國,0312,1,7,031
01611,因,0313,1,7,031
01607,四,0314,1,5,031
01765,堂,0315,1,2,032
01659,在,0316,1,8,032
01666,地,0317,1,6,032
01903,士,0318,1,2,033
01946,大,0319,1,12,037
01949,夫,0320,1,9,037
01947,天,0321,1,24,037
02031,如,0322,1,3,038
02077,姓,0323,1,3,038
02069,始,0324,1,3,038
02273,孝,0325,1,35,039
02262,子,0326,1,39,039
02383,察,0327,1,2,040
02386,寡,0328,1,2,040
02349,家,0329,1,6,040
02309,安,0330,1,6,040
02322,宗,0331,1,5,040
02366,富,0332,1,2,040
02308,守,0333,1,3,040
02425,將,0334,1,3,041
02429,尊,0335,1,2,041
02439,小,0336,1,2,042
02482,居,0337,1,5,044
02782,己,0338,1,2,049
02944,度,0339,1,2,053
02961,庶,0340,1,3,053
02993,廣,0341,1,2,053
02989,廟,0342,1,4,053
03115,彰,0343,1,2,059
03145,得,0344,1,7,060
03138,後,0345,1,5,060
03172,德,0346,1,13,060
03405,愛,0347,1,14,061
03179,心,0348,1,6,061
03203,忠,0349,1,5,061
03367,惡,0350,1,4,061
03180,必,0351,1,6,061
03239,思,0352,1,6,061
03244,性,0353,1,3,061
03591,懽,0354,1,3,061
03321,悖,0355,1,2,061
03194,志,0356,1,2,061
03316,悌,0357,1,5,061
03309,悦,0358,1,5,061
03610,成,0359,1,5,062
03633,戰,0360,1,2,062
03647,所,0361,1,9,063
03904,揚,0362,1,3,064
04085,擇,0363,1,2,064
04261,教,0364,1,17,066
04286,敬,0365,1,25,066
04243,故,0366,1,25,066
04277,敢,0367,1,9,066
04235,政,0368,1,3,066
04321,文,0369,1,2,067
04389,於,0370,1,41,070
04485,明,0371,1,10,072
04503,春,0372,1,3,072
04510,昭,0373,1,3,072
04490,昔,0374,1,4,072
04446,日,0375,1,4,072
04512,是,0376,1,10,072
04661,曾,0377,1,5,073
04650,曰,0378,1,17,073
04674,有,0379,1,16,074
04713,本,0380,1,4,075
05279,樂,0381,1,4,075
05644,此,0382,1,5,077
05686,死,0383,1,3,078
05812,毀,0384,1,2,079
05834,母,0385,1,7,080
05935,民,0386,1,24,083
06476,滿,0387,1,4,085
06408,溢,0388,1,2,085
06074,法,0389,1,4,085
06091,注,0390,1,2,085
05983,汝,0391,1,2,085
06182,海,0392,1,2,085
06055,治,0393,1,9,085
06058,況,0394,1,3,085
06885,然,0395,1,6,086
06861,焉,0396,1,5,086
06872,無,0397,1,20,086
07032,爲,0398,1,13,087
07028,爭,0399,1,11,087
07035,父,0400,1,18,088
07203,猶,0401,1,3,094
07262,王,0402,1,10,096
07307,理,0403,1,3,096
07457,甚,0404,1,2,099
07461,生,0405,1,9,100
07469,用,0406,1,5,101
07535,當,0407,1,5,102
07522,略,0408,1,2,102
07710,百,0409,1,4,106
07717,皆,0410,1,3,106
07779,盡,0411,1,3,108
07865,睦,0412,1,2,109
07801,相,0413,1,2,109
01957,失,0414,1,5,037
07938,矣,0415,1,11,111
07941,知,0416,1,4,111
08124,神,0417,1,3,113
08117,祖,0418,1,2,113
08097,示,0419,1,2,113
08165,禮,0420,1,6,113
08103,祀,0421,1,3,113
08135,祭,0422,1,4,113
08252,稷,0423,1,2,115
08187,秋,0424,1,3,115
08212,移,0425,1,5,115
08354,立,0426,1,4,117
08493,節,0427,1,2,118
08856,經,0428,1,7,120
08795,終,0429,1,5,120
09177,義,0430,1,15,123
09255,者,0431,1,31,125
09264,而,0432,1,42,126
09308,聖,0433,1,7,128
09344,肅,0434,1,3,129
09429,能,0435,1,7,130
09462,脩,0436,1,2,130
04679,服,0437,1,2,074
09596,臣,0438,1,9,131
09601,臨,0439,1,3,131
09602,自,0440,1,5,132
09610,至,0441,1,7,133
09611,致,0442,1,7,133
09632,擧,0443,1,2,134
09972,著,0444,1,2,140
09886,莫,0445,1,11,140
10040,蓋,0446,1,4,140
09954,萬,0447,1,2,140
