,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
13281,音,0350,0,1,180
13297,頃,0351,0,1,181
13313,預,0352,0,1,181
13398,類,0353,0,1,181
13327,領,0354,0,1,181
13355,頸,0355,0,1,181
13526,飮,0356,0,1,184
13503,食,0357,0,1,184
13552,餌,0358,0,1,184
13565,餘,0359,0,1,184
13508,飢,0360,0,1,184
13559,餓,0361,0,1,184
13521,飫,0362,0,1,184
13630,饉,0363,0,1,184
13820,騰,0365,0,1,187
13849,驗,0366,0,1,187
14088,魔,0367,0,1,194
14207,鯔,0368,0,1,195
14576,鷲,0369,0,1,196
14659,麤,0370,0,1,198
14681,麻,0371,0,1,200
14730,黨,0372,0,1,203
14876,龍,0373,0,1,212
14887,龜,0374,0,1,213
00013,不,0375,1,74,001
00008,上,0377,1,28,001
00007,三,0378,1,19,001
00009,下,0379,1,16,001
00020,且,0380,1,12,001
00001,一,0381,1,64,001
00026,丘,0383,1,5,001
00025,世,0384,1,9,001
00004,七,0385,1,3,001
00051,中,0386,1,36,002
00070,主,0387,1,22,003
00088,之,0388,1,353,004
00078,乃,0396,1,63,004
00092,乎,0398,1,20,004
00102,乘,0399,1,4,004
00109,也,0400,1,67,005
00108,乞,0402,1,3,005
00113,乳,0403,1,4,005
00128,事,0404,1,23,006
00133,云,0405,1,55,007
00129,二,0407,1,23,007
00135,五,0408,1,14,007
00132,于,0409,1,20,007
00136,井,0410,1,12,007
00150,亡,0411,1,3,008
00154,亦,0412,1,32,008
00240,但,0413,1,3,009
00183,他,0414,1,2,009
00449,傍,0415,1,2,009
00378,倚,0416,1,2,009
00369,候,0417,1,2,009
00246,佐,0418,1,2,009
00235,似,0419,1,2,009
00219,休,0420,1,2,009
00516,儀,0421,1,2,009
00349,俯,0422,1,2,009
00245,住,0423,1,8,009
00483,僉,0424,1,4,009
00177,仍,0425,1,4,009
00299,供,0426,1,4,009
00373,倒,0427,1,3,009
00301,依,0428,1,11,009
00288,侍,0429,1,6,009
00209,企,0430,1,5,009
00321,便,0431,1,8,009
00193,令,0432,1,8,009
00192,代,0433,1,10,009
00194,以,0434,1,138,009
00175,今,0437,1,28,009
00256,作,0438,1,26,009
00168,人,0439,1,37,009
00282,來,0440,1,39,009
00250,何,0441,1,26,009
00279,使,0442,1,21,009
00260,伱,0443,1,3,009
00351,俳,0444,1,4,009
00542,優,0445,1,3,009
00217,伏,0446,1,7,009
00253,余,0447,1,7,009
00567,光,0448,1,4,010
00566,先,0449,1,19,010
00574,兒,0450,1,63,010
00561,兄,0452,1,55,010
00585,内,0454,1,12,011
00589,全,0455,1,2,011
00591,兩,0456,1,3,011
00582,入,0457,1,25,011
00605,其,0458,1,100,012
00594,八,0460,1,38,012
00613,兼,0461,1,4,012
00606,具,0462,1,5,012
00599,共,0463,1,6,012
00701,凡,0464,1,6,016
00723,出,0465a,2,47,017
00723b,出,0465b,2,23,017
00789,則,0467,1,71,018
00759,初,0469,1,5,018
00763,別,0470,1,8,018
00769,到,0471,1,21,018
00794,前,0472,1,13,018
00734,分,0473,1,3,018
00767,利,0474,1,12,018
00818,副,0475,1,3,018
00776,制,0476,1,2,018
00729,刀,0477,1,4,018
00858,加,0478,1,4,019
00898,勢,0479,1,3,019
00879,勅,0480,1,19,019
00893,勝,0481,1,21,019
00919,勿,0482,1,10,020
00938,化,0483,1,4,021
00985,十,0484,1,18,024
00987,千,0485,1,18,024
01019,卜,0486,1,2,025
01049,卽,0487,1,36,026
01022,占,0488,1,2,025
01035,危,0489,1,2,026
01074,原,0490,1,18,027
01101,去,0491,1,19,028
01128,受,0492,1,6,029
01108,又,0493,1,18,029
01127,取,0494,1,14,029
01112,友,0495,1,4,029
01116,反,0496,1,2,029
01111,及,0497,1,27,029
01251,呼,0498,1,3,030
01242,味,0499,1,9,030
01412,喜,0500,1,3,030
01479,嘗,0501,1,3,030
01305,哉,0502,1,6,030
01174,同,0503,1,3,030
01395,善,0504,1,4,030
01279,咫,0505,1,3,030
01219,告,0506,1,6,030
01452,嗣,0507,1,5,030
01487,嘲,0508,1,4,030
01420,喧,0509,1,2,030
01359,唾,0510,1,2,030
