統合ID,文字,斉民要術,字体数,用例数,部首
09605,臭,0287,0,1,132
09636,舌,0288,0,1,135
09638,舍,0289,0,1,135
09643,舒,0290,0,1,135
09713,艮,0291,0,1,138
09810,茅,0292,0,1,140
09899,菉,0293,0,1,140
10035,蓄,0294,0,1,140
09921,華,0295,0,1,140
10086,蔭,0296,0,1,140
09778,苗,0297,0,1,140
09841,荄,0298,0,1,140
09753,芬,0299,0,1,140
10088,蔽,0300,0,1,140
09976,葛,0301,0,1,140
10004,蒔,0302,0,1,140
09807,茂,0303,0,1,140
10062,蓿,0304,0,1,140
10251,蘭,0305,0,1,140
10012,蒜,0306,0,1,140
10188,藋,0307,0,1,140
09780,苜,0308,0,1,140
10026,蒲,0309,0,1,140
10275,虞,0310,0,1,141
10605,血,0311,0,1,143
10637,衣,0312,0,1,145
10698,裂,0313,0,1,145
10887,觸,0314,0,1,148
10875,解,0315,0,1,148
10869,觜,0316,0,1,148
10890,言,0317,0,1,149
11058,論,0318,0,1,149
11174,譜,0319,0,1,149
11200,護,0320,0,1,149
10896,計,0321,0,1,149
11234,谷,0322,0,1,150
11253,豈,0323,0,1,151
11356,買,0324,0,1,154
11377,賊,0325,0,1,154
11359,費,0326,0,1,154
11373,資,0327,0,1,154
11353,貲,0328,0,1,154
11332,負,0329,0,1,154
11445,赤,0330,0,1,155
11621,蹋,0331,0,1,157
11715,身,0332,0,1,158
11816,輞,0333,0,1,159
11898,辟,0334,0,1,160
11917,辰,0335,0,1,161
11919,農,0336,0,1,161
03008,廻,0337,0,1,054
12092,遶,0339,0,1,162
12051,道,0340,0,1,162
12004,造,0341,0,1,162
12010,連,0342,0,1,162
12087,遲,0343,0,1,162
12030,逼,0344,0,1,162
12074,遣,0345,0,1,162
12179,郭,0346,0,1,163
12188,都,0347,0,1,163
12176,部,0348,0,1,163
12186,郵,0349,0,1,163
12301,酷,0350,0,1,164
12320,䤅,0351,0,1,164
M39932,,0352,0,1,164
12371,釋,0353,0,1,165
12376,量,0354,0,1,166
12440,鉢,0355,0,1,167
12453,銅,0356,0,1,167
M40796,,0357,0,1,167
12383,釘,0358,0,1,167
12507,錐,0359,0,1,167
12568,鎌,0360,0,1,167
12441,鉤,0361,0,1,167
12597,鏇,0362,0,1,167
12553,鍬,0363,0,1,167
12714,閉,0364,0,1,169
12839,限,0365,0,1,170
12864,陳,0366,0,1,170
12905,隙,0367,0,1,170
12802,阜,0368,0,1,170
12855,除,0369,0,1,170
12833,陂,0370,0,1,170
12868,陶,0371,0,1,170
14542,鷄,0372,0,1,196
12955,雀,0373,0,1,172
12950,隻,0374,0,1,172
12962,雅,0375,0,1,172
13015,雪,0376,0,1,173
13052,霜,0377,0,1,173
13133,靶,0378,0,1,177
13160,鞍,0379,0,1,177
13192,鞭,0380,0,1,177
13293,響,0381,0,1,180
13395,顚,0382,0,1,181
13368,顆,0383,0,1,181
13313,預,0384,0,1,181
13573,餠,0385,0,1,184
13526,飮,0386,0,1,184
13527,飯,0387,0,1,184
13677,馥,0388,0,1,186
13864,驢,0389,0,1,187
13724,駕,0390,0,1,187
13934,體,0391,0,1,188
13933,髓,0392,0,1,188
14061,鬼,0393,0,1,194
14066,魁,0394,0,1,194
14116,魯,0395,0,1,195
14174,鮮,0396,0,1,195
14431,鴨,0397,0,1,196
14620,鹽,0398,0,1,197
14728x,黦,0399,0,1,203
14853,齧,0400,0,1,211
00001,一,0401,1,102,001
00020,且,0404,1,2,001
00006,丈,0405,1,3,001
00009,下,0406,1,37,001
00008,上,0407,1,31,001
00004,七,0408,1,22,001
00013,不,0409,1,60,001
00025,世,0411,1,2,001
00007,三,0413,1,61,001
00002,丁,0415,1,3,001
00051,中,0416,1,79,002
00070,主,0418,1,3,003
00088,之,0419,1,150,004
00085,久,0422,1,7,004
00078,乃,0423,1,12,004
00109,也,0424,1,11,005
00107,九,0425,1,12,005
00118,乾,0426,1,17,005
00128,事,0427,1,2,006
00135,五,0428,1,43,007
00129,二,0429,1,40,007
00154,亦,0430,1,19,008
00160,亭,0431,1,3,008
00369,候,0432,1,3,009
00299,供,0433,1,2,009
00373,倒,0434,1,2,009
00267,佳,0435,1,3,009
00417,停,0436,1,4,009
00235,似,0437,1,4,009
00279,使,0438,1,11,009
00513,價,0439,1,2,009
00218,伐,0440,1,11,009
00350,倶,0441,1,3,009
00368,倍,0442,1,5,009
00177,仍,0443,1,4,009
00256,作,0444,1,38,009
00194,以,0445,1,77,009
00321,便,0447,1,9,009
00168,人,0448,1,17,009
00193,令,0449,1,53,009
00175,今,0451,1,2,009
00206,任,0452,1,13,009
00282,來,0453,1,4,009
00240,但,0454,1,2,009
00200,仲,0455,1,3,009
00562,充,0456,1,2,010
00567,光,0457,1,2,010
00582,入,0458,1,7,011
00591,兩,0459,1,9,011
00585,内,0460,1,6,011
00605,其,0461,1,34,012
00594,八,0462,1,19,012
00606,具,0463,1,5,012
00596,公,0464,1,2,012
00597,六,0465,1,15,012
00629,再,0466,1,8,013
00672,冷,0467,1,6,015
00662,冬,0468,1,10,015
00701,凡,0469,1,12,016
00723,出,0470,1,21,017
00791,削,0471,1,2,018
00769,到,0472,1,2,018
00763,別,0473,1,9,018
00820,割,0474,1,2,018
00789,則,0475,1,21,018
00794,前,0476,1,6,018
00767,利,0477,1,11,018
00729,刀,0478,1,2,018
00736,刈,0479,1,7,018
00799,剖,0480,1,5,018
00734,分,0481,1,7,018
00894,勞,0482,1,14,019
00898,勢,0483,1,3,019
00919,勿,0484,1,19,020
00941,北,0485,1,4,021
00975,匹,0486,1,7,023
00994,半,0487,1,4,024
00985,十,0488,1,56,024
01010,南,0490,1,6,024
00987,千,0491,1,14,024
00991,升,0492,1,2,024
01049,卽,0493,1,23,026
01074,原,0494,1,4,027
01068,厚,0495,1,3,027
01101,去,0496,1,23,028
01127,取,0497,1,48,029
01108,又,0498,1,15,029
01111,及,0499,1,9,029
01179,向,0500,1,3,030
01349,唯,0501,1,6,030
01263,和,0502,1,12,030
01172,吉,0503,1,3,030
01523,器,0504,1,14,030
01154,可,0505,1,20,030
01141,口,0506,1,3,030
01170,合,0507,1,16,030
01168,各,0508,1,8,030
01395,善,0509,1,4,030
01174,同,0510,1,4,030
01468,嘉,0511,1,3,030
01197,含,0512,1,3,030
01644,園,0513,1,3,031
01645,圓,0514,1,2,031
01641,圍,0515,1,2,031
01607,四,0516,1,25,031
01831,塵,0517,1,2,032
01767,堅,0518,1,3,032
01659,在,0519,1,6,032
01833,塹,0520,1,3,032
01884,壓,0521,1,3,032
01897,壟,0522,1,17,032
01666,地,0523,1,36,032
01683,坑,0524,1,13,032
01654,土,0525,1,18,032
01823,塞,0526,1,2,032
01789,堪,0527,1,9,032
01680,坎,0528,1,2,032
01818,塗,0529,1,5,032
01895,壞,0530,1,3,032
01738,埋,0531,1,2,032
01904,壬,0532,1,2,033
01927,夏,0533,1,9,035
01934,外,0534,1,5,036
