,,smk_西夏法華,smk_西夏法華,smk_西夏法華,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00007,三,0277,1,42,001
00008,上,0278,1,29,001
00009,下,0279,1,2,001
00013,不,0280,1,69,001
00026,丘,0282,1,31,001
00051,中,0283,1,37,002
00070,主,0284,1,4,003
00078,乃,0285,1,14,004
00085,久,0286,1,3,004
00088,之,0287,1,41,004
00102,乘,0288,1,44,004
00109,也,0289,1,2,005
00118,乾,0290,1,9,005
00121,亂,0291,1,6,005
00125,了,0292,1,7,006
00129,二,0293,1,19,007
00132,于,0294,1,5,007
00133,云,0295,1,3,007
00135,五,0296,1,10,007
00154,亦,0297,1,42,008
00199,仰,0298,1,3,009
00168,人,0299,1,64,009
00170,仁,0301,1,2,009
00193,令,0302,1,24,009
00194,以,0303,1,88,009
00236,伽,0305,1,7,009
00240,但,0306,1,11,009
00243,位,0307,1,2,009
00245,住,0308,1,8,009
00250,何,0309,1,26,009
00255,佛,0310,1,317,009
00256,作,0317,1,23,009
00279,使,0318,1,6,009
00299,供,0319,1,23,009
00321,便,0320,1,39,009
00345,信,0321,1,20,009
00350,倶,0322,1,14,009
00385,値,0323,1,4,009
00405,假,0324,1,2,009
00503,僧,0325,1,7,009
00513,價,0326,1,2,009
00516,儀,0327,1,2,009
00520,億,0328,1,22,009
00542,優,0329,1,22,009
00562,充,0330,1,3,010
00567,光,0331,1,39,010
00582,入,0332,1,27,011
00591,兩,0333,1,3,011
00594,八,0334,1,19,012
00597,六,0335,1,16,012
00599,共,0336,1,5,012
00605,其,0337,1,41,012
00606,具,0338,1,12,012
00608,典,0339,1,2,012
00723,出,0340,1,25,017
00734,分,0341,1,12,018
00735,切,0342,1,26,018
00759,初,0343,1,3,018
00763,別,0344,1,11,018
00767,利,0345,1,77,018
00769,到,0347,1,2,018
00781,刹,0348,1,2,018
00789,則,0349,1,6,018
00856,力,0350,1,26,019
00858,加,0351,1,4,019
00863,助,0352,1,2,019
00865,劫,0353,1,19,019
00881,勇,0354,1,3,019
00885,勒,0355,1,9,019
00887,動,0356,1,8,019
00898,勢,0357,1,2,019
00919,勿,0358,1,3,020
00938,化,0359,1,13,021
00985,十,0360,1,23,024
00987,千,0361,1,42,024
01010,南,0362,1,2,024
01049,卽,0363,1,11,026
01088,厭,0364,1,3,027
01101,去,0365,1,11,028
01109,叉,0366,1,4,029
01111,及,0367,1,46,029
01128,受,0368,1,13,029
01154,可,0369,1,15,030
01168,各,0370,1,16,030
01170,合,0371,1,9,030
01174,同,0372,1,4,030
01175,名,0373,1,38,030
01212,吹,0374,1,2,030
01217,吾,0375,1,2,030
01219,告,0376,1,11,030
01235,周,0377,1,2,030
01263,和,0378,1,2,030
01288,咸,0379,1,6,030
01349,唯,0380,1,21,030
01369,問,0381,1,11,030
01395,善,0382,1,23,030
01412,喜,0383,1,18,030
01421,喩,0384,1,13,030
01581,嚴,0385,1,12,030
01607,四,0386,1,18,031
01611,因,0387,1,28,031
01627,固,0388,1,4,031
01639,國,0389,1,7,031
01654,土,0390,1,19,032
01659,在,0391,1,12,032
01666,地,0392,1,3,032
01682,坐,0393,1,7,032
01710,垂,0394,1,2,032
01767,堅,0395,1,5,032
01789,堪,0396,1,2,032
01796,報,0397,1,4,032
01798,場,0398,1,5,032
01823,塞,0399,1,8,032
01851,墜,0400,1,3,032
01853,增,0401,1,9,032
01863,墮,0402,1,5,032
01903,士,0403,1,2,033
01938,多,0404,1,16,036
01939,夜,0405,1,9,036
01946,大,0406,1,69,037
01947,天,0408,1,44,037
01957,失,0409,1,2,037
01974,奉,0410,1,3,037
02029,好,0411,1,2,038
02031,如,0412,1,106,038
02033,妄,0415,1,3,038
02045,妙,0416,1,45,038
02077,姓,0417,1,3,038
02105,威,0418,1,4,038
02110,娑,0419,1,2,038
02142,婆,0420,1,30,038
02201,嫉,0421,1,2,038
02262,子,0422,1,52,039
02267,字,0424,1,4,039
02293,學,0425,1,3,039
02309,安,0426,1,7,040
02325,定,0427,1,7,040
02327,宜,0428,1,4,040
02333,宣,0429,1,11,040
02349,家,0430,1,6,040
02357,寂,0431,1,8,040
02390,實,0432,1,15,040
02407,寶,0433,1,16,040
02429,尊,0434,1,43,041
02430,尋,0435a,2,1,041
02430b,尋,0435b,2,1,041
02436,導,0436,1,7,041
02439,小,0437,1,17,042
02440,少,0438,1,3,042
02464,就,0439,1,5,043
02473,尼,0440,1,17,044
02515,屬,0441,1,14,044
02528,山,0442,1,5,046
02775,巧,0443,1,2,048
02783,已,0444,1,43,049
02800,布,0445,1,5,050
02806,希,0446,1,8,050
02835,師,0447,1,26,050
02847,常,0448,1,12,050
02881,幡,0449,1,2,050
02897,干,0450,1,7,051
02902,并,0451,1,4,051
02944,度,0452,1,26,053
02946,座,0453,1,4,053
02989,廟,0454,1,7,053
03008,廻,0455,1,2,054
03044,引,0456,1,3,057
03046,弗,0457,1,52,057
03052,弟,0459,1,8,057
03084,彌,0460,1,10,057
03101,形,0461,1,2,059
03124,彼,0462,1,9,060
03132,待,0463,1,2,060
03138,後,0464,1,19,060
03145,得,0465,1,54,060
03151,從,0467,1,16,060
03157,徧,0468,1,4,060
03172,德,0469,1,12,060
03179,心,0470,1,43,061
03180,必,0471,1,3,061
03184,忍,0472,1,4,061
03192,忖,0473,1,2,061
03194,志,0474,1,5,061
03196,忘,0475,1,2,061
03214,念,0476,1,17,061
03239,思,0477,1,17,061
03240,怠,0478,1,2,061
03244,性,0479,1,8,061
03267,恆,0480,1,8,061
03297,恭,0481,1,5,061
03309,悦,0482,1,2,061
03326,悟,0483,1,4,061
03335,悲,0484,1,3,061
03355,惑,0485,1,5,061
03365,惟,0486,1,7,061
03367,惡,0487,1,11,061
03395,意,0488,1,17,061
03405,愛,0489,1,4,061
03438,慇,0490,1,3,061
03458,慢,0491,1,10,061
03462,慧,0492,1,20,061
03469,慰,0493,1,2,061
03471,慳,0494,1,2,061
03544,懃,0495,1,3,061
03549,懈,0496,1,3,061
03550,應,0497,1,8,061
03610,成,0498,1,30,062
03611,我,0499,1,72,062
03612,戒,0501,1,5,062
03617,或,0502,1,18,062
03636,戲,0503,1,3,062
03647,所,0504,1,89,063
03659,手,0506,1,2,064
03757,拘,0507,1,2,064
03780,持,0508,1,12,064
03835,捨,0509,1,6,064
03855,授,0510,1,4,064
03858,掌,0511,1,10,064
03896,提,0512,1,12,064
04009,摩,0513,1,17,064
04087,擊,0514,1,3,064
04216,支,0515,1,7,065
04233,放,0516,1,10,066
04243,故,0517,1,47,066
