カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0152,盛,0 ,,,,,07770,108,1 
0153,眠,0 ,,,,,07828,109,1 
0154,睡,0 ,,,,,07860,109,1 
0155,睹,0 ,,,,,07870,109,1 
0156,瞑,0 ,,,,,07882,109,1 
0157,M23859,0 ,,,,,,110,1 
0158,矣,0 ,,,,,07938,111,1 
0159,石,0 ,,,,,07954,112,1 
0160,礙,0 ,,,,,08077,112,1 
0161,祕,0 ,,,,,08116,113,1 
0162,稚,0 ,,,,,08233,115,1 
0163,稠,0 ,,,,,08239,115,1 
0164,稻,0 ,,,,,08256,115,1 
0165,窮,0 ,,,,,08329,116,1 
0166,端,0 ,,,,,08376,117,1 
0167,笑,0 ,,,,,08396,118,1 
0168,笛,0 ,,,,,08400,118,1 
0169,筆,0 ,,,,,08423,118,1 
0170,箜,0 ,,,,,08474,118,1 
0171,篌,0 ,,,,,08504,118,1 
0172,簫,0 ,,,,,08577,118,1 
0173,糟,0 ,,,,,08712,119,1 
0174,糠,0 ,,,,,08713,119,1 
0175,08841,0 ,,,,,08841,120,1 
0176,縛,0 ,,,,,08963,120,1 
0177,縱,0 ,,,,,08982,120,1 
0178,繞,0 ,,,,,09020,120,1 
0179,繼,0 ,,,,,09047,120,1 
0180,續,0 ,,,,,09061,120,1 
0181,罪,0 ,,,,,09125,122,1 
0182,罵,0 ,,,,,09132,122,1 
0183,羣,0 ,,,,,09175,123,1 
0184,耆,0 ,,,,,09257,125,1 
0185,耳,0 ,,,,,09290,128,1 
0186,聚,0 ,,,,,09314,128,1 
0187,肉,0 ,,,,,09348,130,1 
0188,胎,0 ,,,,,09395,130,1 
0189,膠,0 ,,,,,09544,130,1 
0190,膳,0 ,,,,,09554,130,1 
0191,臣,0 ,,,,,09596,131,1 
0192,臥,0 ,,,,,09599,131,1 
0193,興,0 ,,,,,09630,134,1 
0194,擧,0 ,,,,,09632,134,1 
0195,花,0 ,,,,,09758,140,1 
0196,茂,0 ,,,,,09807,140,1 
0197,草,0 ,,,,,09846,140,1 
0198,莫,0 ,,,,,09886,140,1 
0199,葦,0 ,,,,,09982,140,1 
0200,蔽,0 ,,,,,10088,140,1 
0201,被,0 ,,,,,10683,145,1 
0202,視,0 ,,,,,10837,147,1 
0203,角,0 ,,,,,10860,148,1 
0204,詔,0 ,,,,,10959,149,1 
0205,詣,0 ,,,,,10974,149,1 
0206,詳,0 ,,,,,10984,149,1 
0207,誑,0 ,,,,,11006,149,1 
0208,調,0 ,,,,,11038,149,1 
0209,諂,0 ,,,,,11041,149,1 
0210,識,0 ,,,,,11171,149,1 
0211,豫,0 ,,,,,11283,152,1 
0212,貌,0 ,,,,,11311,153,1 
0213,貝,0 ,,,,,11328,154,1 
0214,貧,0 ,,,,,11338,154,1 
0215,賓,0 ,,,,,11386,154,1 
0216,質,0 ,,,,,11404,154,1 
0217,赤,0 ,,,,,11445,155,1 
0218,越,0 ,,,,,11471,156,1 
0219,蹉,0 ,,,,,11619,157,1 
0220,軒,0 ,,,,,11750,159,1 
0221,輦,0 ,,,,,11823,159,1 
0222,輸,0 ,,,,,11841,159,1 
0223,輿,0 ,,,,,11846,159,1 
0224,辭,0 ,,,,,11914,160,1 
0225,辯,0 ,,,,,11916,160,1 
0226,迫,0 ,,,,,11965,162,1 
0227,逝,0 ,,,,,12001,162,1 
0228,速,0 ,,,,,12003,162,1 
0229,造,0 ,,,,,12004,162,1 
0230,連,0 ,,,,,12010,162,1 
0231,逸,0 ,,,,,12027,162,1 
0232,逼,0 ,,,,,12030,162,1 
0233,遊,0 ,,,,,12042,162,1 
0234,適,0 ,,,,,12079,162,1 
0235,遭,0 ,,,,,12082,162,1 
0236,醜,0 ,,,,,12327,164,1 
0237,野,0 ,,,,,12374,166,1 
0238,鉐,0 ,,,,,,167,1 
0239,12445y6,0 ,,,,,12445y6,167,1 
0240,鈴,0 ,,,,,12418,167,1 
0241,鉛,0 ,,,,,12437,167,1 
0242,錫,0 ,,,,,12526,167,1 
0243,錯,0 ,,,,,12528,167,1 
0244,鍮,0 ,,,,,12555,167,1 
0245,鐃,0 ,,,,,12629,167,1 
0246,鐵,0 ,,,,,12654,167,1 
0247,鑞,0 ,,,,,12673,167,1 
