カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,
0275,禮,113,0,,,,,08165,,,,,
0276,祇,113,0,,,,,08107,,,,,
0277,祝,113,0,,,,,08123,,,,,
0278,祿,113,0,,,,,08141,,,,,
0279,祷,113,0,,,,,08167,,,,,
0280,禹,114,0,,,,,08172,,,,,
0281,禽,114,0,,,,,08176,,,,,
0282,秦,115,0,,,,,08204,,,,,
0283,稜,115,0,,,,,08235,,,,,
0284,稷,115,0,,,,,08252,,,,,
0285,稻,115,0,,,,,08256,,,,,
0286,穗,115,0,,,,,08273,,,,,
0287,究,116,0,,,,,08293,,,,,
0288,穿,116,0,,,,,08300,,,,,
0289,竊,116,0,,,,,08353,,,,,
0290,竟,117,0,,,,,08365,,,,,
0291,豎,151,0,,,,,11258,,,,,
0292,符,118,0,,,,,08408,,,,,
0293,答,118,0,,,,,08437,,,,,
0294,箱,118,0,,,,,08483,,,,,
0295,籠,118,0,,,,,08619,,,,,
0296,粟,119,0,,,,,08664,,,,,
0297,紀,120,0,,,,,08735,,,,,
0298,級,120,0,,,,,08759,,,,,
0299,細,120,0,,,,,08779,,,,,
0300,緑,120,0,,,,,08870,,,,,
0301,縁,120,0,,,,,08924,,,,,
0302,縣,120,0,,,,,08972,,,,,
0303,繞,120,0,,,,,09020,,,,,
0304,罵,122,0,,,,,09132,,,,,
0305,羊,123,0,,,,,09150,,,,,
0306,義,123,0,,,,,09177,,,,,
0307,羹,123,0,,,,,09191,,,,,
0308,考,125,0,,,,,09251,,,,,
0309,耶,128,0,,,,,09292,,,,,
0310,脱,130,0,,,,,09463,,,,,
0311,臂,130,0,,,,,09568,,,,,
0312,舟,137,0,,,,,09657,,,,,
0313,舸,137,0,,,,,09674,,,,,
0314,艘,137,0,,,,,09694,,,,,
