統合ID,文字,兼右書紀,字体数,用例数,部首
00763,別,0503,1,2,018
00776,制,0504,1,3,018
00791,削,0505,1,2,018
00794,前,0506,1,8,018
00856,力,0507,1,3,019
00857,功,0508,1,2,019
00863,助,0509,1,2,019
00864,努,0510,1,4,019
00893,勝,0511,1,8,019
00894,勞,0512,1,2,019
00898,勢,0513,1,6,019
00913,勸,0514,1,4,019
00919,勿,0515,1,4,020
00941,北,0516,1,4,021
00983,匿,0517,1,2,023
00985,十,0518,1,18,024
00987,千,0519,1,2,024
00988,廿,0520,1,2,024
00992,午,0521,1,11,024
00994,半,0522,1,2,024
01010,南,0523,1,4,024
01033,卯,0524,1,7,026
01049,卽,0525,1,17,026
01101,去,0526,1,9,028
01104,參,0527,1,3,028
01111,及,0528,1,4,029
01127,取,0529,1,12,029
01142,古,0530,1,9,030
01150,召,0531,1,3,030
01154,可,0532,1,14,030
01168,各,0533,1,3,030
01170,合,0534,1,2,030
01174,同,0535,1,4,030
01175,名,0536,1,4,030
01176,后,0537,1,2,030
01179,向,0538,1,5,030
01185,君,0539,1,6,030
01217,吾,0540,1,6,030
01222,呂,0541,1,16,030
01235,周,0542,1,2,030
01242,味,0543,1,2,030
01251,呼,0544,1,4,030
01252,命,0545,1,8,030
01350,唱,0546,1,3,030
01369,問,0547,1,7,030
01395,善,0548,1,3,030
01421,喩,0549,1,6,030
01422,喫,0550,1,3,030
01452,嗣,0551,1,2,030
01479,嘗,0552,1,2,030
01594,囉,0553,1,2,030
01607,四,0554,1,12,031
01627,固,0555,1,2,031
01639,國,0556,1,33,031
01641,圍,0557,1,3,031
01647,圖,0558,1,2,031
01654,土,0559,1,3,032
01659,在,0560,1,2,032
01666,地,0561,1,8,032
01672,坂,0562,1,6,032
01710,垂,0563,1,2,032
01740,城,0564,1,6,032
01755,執,0565,1,5,032
01758,基,0566,1,2,032
01765,堂,0567,1,2,032
01796,報,0568,1,4,032
01823,塞,0569,1,2,032
01850,墓,0570,1,5,032
01903,士,0571,1,7,033
01904,壬,0572,1,13,033
01927,夏,0573,1,6,035
01934,外,0574,1,2,036
01938,多,0575,1,9,036
01939,夜,0576,1,8,036
01946,大,0577,1,115,037
01947,天,0580,1,44,037
01948,太,0581,1,6,037
01949,夫,0582,1,10,037
01957,失,0583,1,2,037
01961,夷,0584,1,11,037
01974,奉,0585,1,8,037
01981,奏,0586,1,3,037
02022,女,0587,1,9,038
02031,如,0588,1,13,038
02032,妃,0589,1,4,038
02033,妄,0590,1,2,038
02059,妹,0591,1,3,038
02061,妻,0592,1,2,038
02069,始,0593,1,16,038
02077,姓,0594,1,4,038
02105,威,0595,1,3,038
02110,娑,0596,1,5,038
02142,婆,0597,1,3,038
02262,子,0598,1,69,039
02282,孫,0600,1,3,039
02293,學,0601,1,4,039
02294,孺,0602,1,5,039
02308,守,0603,1,3,040
02309,安,0604,1,2,040
02322,宗,0605,1,2,040
02323,官,0606,1,3,040
02327,宜,0607,1,2,040
02331,客,0608,1,4,040
02342,宮,0609,1,24,040
02344,宰,0610,1,2,040
02349,家,0611,1,14,040
02359,寅,0612,1,8,040
02361,密,0613a,2,1,040
02361b,密,0613b,2,1,040
02366,富,0614,1,3,040
02371,寒,0615,1,2,040
02407,寶,0616,1,2,040
02413,寸,0617,1,4,041
02415,寺,0618,1,11,041
02425,將,0619,1,18,041
02426,專,0620,1,2,041
02435,對,0621,1,4,041
02436,導,0622,1,2,041
02439,小,0623,1,9,042
02440,少,0624,1,4,042
02464,就,0625,1,4,043
02471,尺,0626,1,2,044
02482,居,0627,1,2,044
02488,屋,0628,1,5,044
02489,屍,0629,1,3,044
02504,屢,0630,1,6,044
02518,屯,0631,1,2,045
02528,山,0632,1,32,046
02545,岡,0633,1,3,046
02640,崩,0634,1,2,046
02594,島,0635,1,5,046
02776,巨,0636,1,4,048
02782,己,0637,1,12,049
02784,巳,0638,1,9,049
02835,師,0639,1,4,050
02847,常,0640,1,4,050
02881,幡,0641,1,2,050
02899,平,0642,1,3,051
02900,年,0643,1,15,051
02902,并,0644,1,4,051
02903,幸,0645,1,2,051
02932,底,0646,1,7,053
02936,庚,0647,1,13,053
02938,府,0648,1,2,053
02946,座,0649,1,3,053
02949,庫,0650,1,2,053
02952,庭,0651,1,3,053
02993,廣,0652,1,5,053
03042,弓,0653,1,4,057
03043,弔,0654,1,6,057
03052,弟,0655,1,9,057
03123,役,0656,1,4,060
03124,彼,0657,1,3,060
03128,往,0658,1,5,060
03138,後,0659,1,6,060
03145,得,0660,1,6,060
03153,御,0661,1,3,060
03159,復,0662,1,5,060
03165,微,0663,1,7,060
03172,德,0664,1,10,060
03179,心,0665,1,4,061
03180,必,0666,1,3,061
03183,忌,0667,1,2,061
03194,志,0668,1,4,061
03248,怪,0669,1,3,061
03267,恆,0670,1,4,061
03272,恐,0671,1,7,061
03292,恩,0672a,2,1,061
03292b,恩,0672b,2,1,061
03298,息,0673,1,9,061
03309,悦,0674,1,3,061
03312,悉,0675,1,5,061
03320,悔,0676,1,2,061
03367,惡,0677,1,3,061
03376,惶,0678,1,2,061
03395,意,0679,1,4,061
03429,愼,0680,1,2,061
03486,憂,0681,1,4,061
03518,憤,0682,1,2,061
03550,應,0683,1,3,061
03586,懸,0684,1,2,061
03604,戊,0685,1,11,062
03605,戌,0686,1,9,062
03610,成,0687,1,5,062
03611,我,0688,1,27,062
03617,或,0689,1,13,062
03632,戮,0690,1,2,062
03633,戰,0691,1,5,062
03647,所,0692,1,35,063
03659,手,0693,1,5,064
03666,打,0694,1,2,064
03708,投,0695,1,2,064
03711,折,0696,1,3,064
03729,押,0697,1,8,064
03896,提,0698,1,2,064
03761,拜,0699,1,4,064
