カード番号,漢字,部首番号,字体数,用例数1,用例数2,大字典番号
0379,第,118,1,41,,08412
0380,算,118,1,2,,08469
0381,經,120,1,28,,08856
0382,縁,120,1,2,,08924
0383,羅,122,1,50,,09144
0384,罪,122,1,2,,09125
0385,義,123,1,10,,09177
0386,老,125,1,2,,09250
0387-0388,者,125,1,70,,09255
0389,而,126,1,18,,09264
0390,耨,127,1,29,,09286
0391,聽,128,1,2,,09335
0392,聖,128,1,2,,09308
0393,聲,128,1,5,,09328
0394,聞,128,1,14,,09315
0395,耶,128,1,3,,09292
0396,能,130,1,15,,09429
0397,脩,130,1,5,,09462
0398,肉,130,1,2,,09348
0399,至,133,1,11,,09610
0400,與,134,1,3,,09629
0401,舍,135,1,2,,09638
0402,般,137,1,5,,09665
0403,色,139,1,15,,09716
0404,薩,140,1,37,,10163
0405,莊,140,1,9,,09869
0406-0410,菩,140,1,201,,09919
0411-0412,若,140,1,77,,09788
0413,著,140,1,9,,09972
0414,萬,140,1,5,,09954
0415,蘭,140,1,2,,10251
0416,藐,140,1,29,,10192
0417,莫,140,1,5,,09886
0418,虚,141,1,5,,10272
0419,處,141,1,7,,10270
0420,蜜,142,1,10,,10414
0421,衞,144,1,2,,10630
0422,行,144,1,10,,10614
0423,衣,145,1,2,,10637
0424,觀,147,1,6,,10859
0425,見,147,1,40,,10831
0426,解,148,1,14,,10875
0427,觸,148,1,4,,10887
0428,言,149,1,41,,10890
0429,讀,149,1,10,,11207
0430,誦,149,1,10,,11023
0431-0432,説,149,1,88,,11025
0433,訶,149,1,2,,10936
0434,謂,149,1,4,,11095
0435,護,149,1,2,,11200
0436,議,149,1,4,,11195
0437,諸,149,1,33,,11085
0438,記,149,1,2,,10914
0439,譬,149,1,4,,11189
0440,語,149,1,5,,11017
0441,賤,154,1,2,,11402
0442,貪,154,2,2,1,11342
0443,起,156,1,2,,11461
0444,足,157,1,14,,11495
0445,身,158,1,24,,11715
0446,輕,159,1,2,,11802
0447,辱,161,1,3,,11918
0448,迦,162,1,2,,11960
0449,通,162,1,2,,12000
0450,過,162,1,4,,12046
0451,道,162,1,5,,12051
0452,邊,162,1,4,,12115
0453,那,163,1,7,,12134
0454,釋,165,1,2,,12371
0455,量,166,1,14,,12376
0456,重,166,1,2,,12373
0457,鉢,167,1,2,,12440
0458,長,168,1,4,,12698
0459,12724,169,1,2,,12724
0460,阿,170,1,48,,12830
0461,陀,170,1,8,,12831
0462,降,170,1,4,,12838
0463,離,172,1,7,,13001
0464,非,175,1,49,,13104
0465,頗,181,1,2,,13325
0466-0468,須,181,1,143,,13304
0469,養,184,1,4,,13551
0470,食,184,1,3,,13503
0471,香,186,1,5,,13667
0472,體,188,1,2,,13934
0473-0475,來,009,2,94,7,00282
0476,偈,009,2,5,2,00406
0477-0478,所,063,2,54,18,03647
0479,數,066,2,6,1,04298
0480,眞,109,2,2,1,07827
0481,祇,113,2,2,1,08107
0482,間,169,0,,,12724
