カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0460,別,1,8,,,00763,018,
0461-0462,則,1,65,,,00789,018,
0463,勝,1,17,,,00893,019,
0464,勢,1,3,,,00898,019,
0465,加,1,4,,,00858,019,
0466,勅,1,17,,,00879,019,
0467,勿,1,9,,,00919,020,
0468,化,1,4,,,00938,021,
0469,十,1,14,,,00985,024,
0470,千,1,14,,,00987,024,
0471,卜,1,2,,,01019,025,
0472,占,1,2,,,01022,025,
0473,即,1,31,,,01049,026,
0474,危,1,2,,,01035,026,
0475,去,1,18,,,01101,028,
0476,取,1,12,,,01127,029,
0477,受,1,6,,,01128,029,
0478,又,1,17,,,01108,029,
0479,及,1,22,,,01111,029,
0480,問,1,33,,,01369,030,
0481,口,1,17,,,01141,030,
0482,向,1,11,,,01179,030,
0483,吟,1,4,,,01188,030,
0484,召,1,9,,,01150,030,
0485,嗣,1,5,,,01452,030,
0486,強,1,2,,,03066,057,
0487,咲,1,2,,,01312,030,
0488,吾,1,80,,,01217,030,
0489,命,1,74,,,01252,030,
0490,君,1,9,,,01185,030,
0491-0492,嘲,1,4,,,01487,030,
0493-0494,喧,1,2,,,01420,030,
0495,嘗,1,2,,,01479,030,
0496,可,1,24,,,01154,030,
0497,唯,1,2,,,01349,030,
0498,告,1,6,,,01219,030,
0499,善,1,3,,,01395,030,
0500,唾,1,2,,,01359,030,
0501,味,1,6,,,01242,030,
0502,喪,1,6,,,01430,030,
0503,和,1,4,,,01263,030,
0504,合,1,9,,,01170,030,
0505,名,1,20,,,01175,030,
0506,咫,1,4,,,01279,030,
0507,哉,1,4,,,01305,030,
0508,呼,1,3,,,01251,030,
0509,各,1,2,,,01168,030,
0510,呑,1,2,,,01187,030,
0511,同,1,3,,,01174,030,
0512,固,1,2,,,01627,031,
0513,困,1,4,,,01623,031,
0514,四,1,2,,,01607,031,
0515,垢,1,2,,,01726,032,
0516,地,1,12,,,01666,032,
0517,垂,1,2,,,01710,032,
0518,在,1,24,,,01659,032,
0519,土,1,4,,,01654,032,
0520,坐,1,6,,,01682,032,
0521,坂,1,2,,,01672,032,
0522,堅,1,3,,,01767,032,
0523,多,1,10,,,01938,036,
0524,夜,1,14,,,01939,036,
0525,天,1,176,,,01947,037,
0526,太,1,8,,,01948,037,
0527,奉,1,27,,,01974,037,
0528-0531,大,1,40,,,01946,037,
0532,失,1,7,,,01957,037,
0533,奈,1,5,,,01973,037,
0534,姫,1,63,,,02108,038,
0535,妾,1,19,,,02062,038,
0536,如,1,22,,,02031,038,
0537-0538,始,1,6,,,02069,038,
0539,女,1,49,,,02022,038,
0540,威,1,4,,,02105,038,
0541,媛,1,4,,,02178,038,
0542,妹,1,5,,,02059,038,
0543,娶,1,8,,,02134,038,
0544,娠,1,8,,,02122,038,
0545,妻,1,8,,,02061,038,
0546,妃,1,6,,,02032,038,
0547,娜,1,2,,,02119,038,
0548,姉,1,2,,,02068,038,
0549,委,1,2,,,02078,038,
0550,奴,1,3,,,02024,038,
0551,婢,1,2,,,02151,038,
0552,孫,1,82,,,02282,039,
0553,孕,1,2,,,02265,039,
0554,宮,1,15,,,02323,040,
0555-0556,安,1,3,,,02309,040,
0557,肉,1,3,,,09348,130,
0558,害,1,5,,,02346,040,
0559,宜,1,12,,,02327,040,
0560,客,1,4,,,02331,040,
0561,容,1,7,,,02352,040,
0562,寶,1,5,,,02407,040,
0563,室,1,7,,,02332,040,
0564,實,1,5,,,02390,040,
0565-0566,尊,1,100,,,02429,041,
0567,對,1,23,,,02435,041,
0568,射,1,6,,,02422,041,
0569,尋,1,12,,,02430,041,
0570,少,1,5,,,02440,042,
0571,小,1,8,,,02439,042,
0572,尾,1,3,,,02478,044,
0573,屬,1,4,,,00215,044,
0574,居,1,13,,,02482,044,
0575,屡,1,5,,,02504,044,
0576,屋,1,20,,,02488,044,
0577,山,1,25,,,02528,046,
0578,岐,1,3,,,02540,046,
0579,崩,1,3,,,02640,046,
0580,峯,1,6,,,02589,046,
0581,祟,1,2,,,08125,113,
0582,川,1,3,,,02762,047,
0583,左,1,2,,,02774,048,
0584,已,1,25,,,02783,049,
0585,己,1,10,,,02782,049,
0586,帥,1,2,,,02828,050,
0587,帶,1,4,,,02846,050,
0588,幡,1,12,,,02881,050,
0589,常,1,3,,,02847,050,
0590,席,1,2,,,02839,050,
0591,年,1,5,,,02900,051,
0592,平,1,16,,,02899,051,
0593,座,1,2,,,02946,053,
0594,廣,1,3,,,02993,053,
0595,庭,1,2,,,02952,053,
0596,底,1,2,,,02932,053,
0597,迺,1,5,,,03009,054,
0598,張,1,3,,,03065,057,
0599,弟,1,41,,,03052,057,
0600,引,1,2,,,03044,057,
0601,弔,1,2,,,03043,057,
0602,彌,1,4,,,03084,057,
0603,弓,1,8,,,03042,057,
0604-0605,彦,1,91,,,03106,059,
0606,影,1,2,,,03116,059,
0607,待,1,6,,,03132,060,
0608,得,1,17,,,03145,060,
0609,後,1,19,,,03138,060,
0610,往,1,13,,,03128,060,
0611,徑,1,4,,,03142,060,
0612,御,1,11,,,03153,060,
0613,彼,1,13,,,03124,060,
0614,徳,1,2,,,03172,060,
0615,恨,1,9,,,03291,061,
0616,心,1,10,,,03179,061,
0617,惡,1,5,,,03367,061,
0618,慇,1,2,,,03438,061,
0619,憐,1,3,,,03499,061,
0620,怜,1,4,,,03238,061,
0621,懷,1,3,,,03585,061,
0622,志,1,4,,,03194,061,
0623,息,1,6,,,03298,061,
0624,慙,1,4,,,03453,061,
0625,慍,1,2,,,03410,061,
0626,忍,1,10,,,03184,061,
0627,忌,1,2,,,03183,061,
0628,必,1,13,,,03180,061,
0629,應,1,2,,,03550,061,
0630,懃,1,2,,,03544,061,
0631,忿,1,4,,,03220,061,
0632,意,1,5,,,03395,061,
0633,愛,1,2,,,03405,061,
0634,思,1,6,,,03239,061,
0635,慮,1,2,,,03466,061,
0636,急,1,5,,,03243,061,
0637,忽,1,6,,,03219,061,
0638,惱,1,3,,,03372,061,
0639,患,1,3,,,03329,061,
0640,怒,1,4,,,03229,061,
0641,悔,1,2,,,03320,061,
0642,情,1,4,,,03348,061,
0643,愁,1,4,,,03387,061,
0644,憶,1,3,,,03534,061,
0645,憂,1,8,,,03486,061,
0646,或,1,2,,,03617,062,
0647,我,1,24,,,03611,062,
0648,成,1,3,,,03610,062,
0649,所,1,40,,,03647,063,
0650,戸,1,6,,,03640,063,
0651,掌,1,3,,,03858,064,
0652,披,1,2,,,03715,064,
0653,據,1,4,,,04106,064,
0654,持,1,11,,,03780,064,
0655,授,1,9,,,03855,064,
0656,排,1,6,,,03862,064,
0657,播,1,12,,,04069,064,
0658,投,1,5,,,03708,064,
0659,探,1,4,,,03874,064,
0660,手,1,14,,,03659,064,
0661,折,1,10,,,03711,064,
0662,抱,1,2,,,03720,064,
0663,損,1,2,,,03939,064,
0664,03751,1,5,,,03751,064,
0665-0666,故,1,72,,,04243,066,
0667,敢,1,3,,,04277,066,
0668,救,1,4,,,04263,066,
