統合ID,文字,カード番号,字体数,用例数,部首
11344,責,0949,1,5,154
11338,貧,0950,1,7,154
11355,貴,0951,1,7,154
11445,赤,0952,1,9,155
11454,走,0953,1,2,156
11461,起,0954,1,13,156
11614,11614,0955,1,2,157
11564,踉,0956,1,2,157
11548,路,0957,1,3,157
11708,躡,0958,1,3,157
11715,身,0959,1,8,158
11795,載,0960,1,2,159
11782,軻,0961,1,2,159
11801,輔,0962,1,5,159
11914,辭,0963,1,3,160
11918,辱,0964,1,6,161
12052,達,0965,1,2,162
11947,迎,0966a,2,3,162
11947b,迎,0966b,2,1,162
12009,逢,0967,1,2,162
12115,邊,0968,1,10,162
11937,迅,0969,1,2,162
11951,返,0970,1,2,162
12000,通,0971,1,2,162
12120,邏,0972,1,3,162
12103,避,0973,1,6,162
12004,造,0974,1,7,162
12030,逼,0975,1,3,162
11995,途,0976,1,2,162
12070,遠,0977,1,6,162
12108,還,0978,1,28,162
12074,遣,0979,1,13,162
12050,遒,0980,1,4,162
11983,送,0981,1,6,162
12010,連,0982,1,8,162
12051,道,0983,1,5,162
12003,速,0984,1,4,162
12022,進,0985,1,10,162
12037,遂,0986,1,15,162
12223,12223,0987,1,4,163
09292,耶,0988,1,20,128
12188,都,0989,1,3,163
12176,部,0990,1,6,163
