統合ID,文字,華嚴信種,字体数,用例数,部首
08569,簡,0153,0,1,118
08753,純,0154,0,1,120
08767,索,0155,0,1,120
08779,細,0156,0,1,120
08807,結,0157,0,1,120
09064,纏,0158,0,1,120
09073,纔,0159,0,1,120
09125,罪,0160,0,1,122
09243,翻,0161,0,1,124
09541,膝,0162,0,1,130
04653,曳,0163,0,1,073
09638,舍,0164,0,1,135
09747,芥,0165,0,1,140
09846,草,0166,0,1,140
09886,莫,0167,0,1,140
09966,葉,0168,0,1,140
10040,蓋,0169,0,1,140
10139,薄,0170,0,1,140
10204,藥,0171,0,1,140
07785,盧,0172,0,1,108
10974,詣,0173,0,1,149
10987,該,0174,0,1,149
11017,語,0175,0,1,149
11028,誰,0176,0,1,149
11035,誹,0177,0,1,149
11116,謗,0178,0,1,149
11134,謬,0179,0,1,149
11189,譬,0180,0,1,149
11344,責,0181,0,1,154
11373,資,0182,0,1,154
11404,質,0183,0,1,154
11502,趺,0184,0,1,157
11908,辨,0186,0,1,160
11936,迄,0187,0,1,162
11968,述,0188,0,1,162
12009,逢,0189,0,1,162
12087,遲,0190,0,1,162
12046,過,0191,0,1,162
12052,達,0192,0,1,162
12176,部,0193,0,1,163
12831,陀,0194,0,1,170
12838,降,0195,0,1,170
12963,集,0196,0,1,172
13012,雨,0197,0,1,173
13015,雪,0198,0,1,173
13020,雲,0199,0,1,173
13073,露,0200,0,1,173
13293,響,0201,0,1,180
13296,頂,0202,0,1,181
13307,頌,0203,0,1,181
13313,預,0204,0,1,181
13409,顧,0205,0,1,181
13423,風,0206,0,1,182
13503,食,0207,0,1,184
13641,饒,0208,0,1,184
13852,驚,0209,0,1,187
13873,骨,0210,0,1,188
13940,高,0211,0,1,189
14659,麤,0212,0,1,198
00001,一,0213,1,78,001
00004,七,0215,1,9,001
00007,三,0216,1,30,001
00008,上,0217,1,17,001
00009,下,0218,1,5,001
00013,不,0219,1,90,001
00025,世,0221,1,26,001
00051,中,0222,1,64,002
00070,主,0224,1,3,003
00078,乃,0225,1,6,004
00088,之,0226,1,45,004
00102,乘,0227,1,22,004
00107,九,0228,1,9,005
00109,也,0229,1,43,005
00128,事,0230,1,11,006
00129,二,0231,1,37,007
00133,云,0232,1,32,007
00135,五,0233,1,13,007
00150,亡,0234,1,3,008
00154,亦,0235,1,15,008
00168,人,0236,1,34,009
00183,他,0237,1,3,009
00186,仙,0238,1,2,009
00193,令,0239,1,24,009
00194,以,0240,1,37,009
00199,仰,0241,1,2,009
00240,但,0242,1,7,009
00243,位,0243,1,27,009
00245,住,0244,1,17,009
00250,何,0245,1,46,009
00255,佛,0246,1,119,009
00256,作,0249,1,4,009
00282,來,0250,1,58,009
00287,例,0252,1,2,009
00299,供,0253,1,4,009
00301,依,0254,1,73,009
00321,便,0256,1,18,009
00345,信,0257,1,133,009
00562,充,0260,1,2,010
00566,先,0261,1,8,010
00567,光,0262,1,23,010
00579,兜,0263,1,2,010
00582,入,0264,1,25,011
00585,内,0265,1,2,011
00594,八,0266,1,9,012
00597,六,0267,1,10,012
00605,其,0268,1,31,012
00606,具,0269,1,9,012
00678,准,0270,1,3,015
00701,凡,0271,1,32,016
00723,出,0272,1,24,017
00734,分,0273,1,15,018
00735,切,0274,1,17,018
00759,初,0275,1,16,018
00763,別,0276,1,24,018
00767,利,0277,1,17,018
00769,到,0278,1,5,018
00781,刹,0279,1,5,018
00789,則,0280,1,2,018
00794,前,0281,1,3,018
00803,剛,0282,1,5,018
00856,力,0283,1,11,019
00857,功,0284,1,11,019
00858,加,0285,1,3,019
00859,劣,0286,1,4,019
00863,助,0287,1,3,019
00887,動,0288,1,3,019
00893,勝,0289,1,7,019
00900,勤,0290,1,2,019
00913,勸,0291,1,3,019
00938,化,0292,1,8,021
00985,十,0293,1,81,024
00987,千,0295,1,4,024
00988,廿,0296,1,2,024
01049,卽,0297,1,23,026
01101,去,0298,1,2,028
01108,又,0299,1,19,029
