カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0289,閣,0,,,,12739,169,,
0290,闍,0,,,,12774,169,,
0291,閑,0,,,,12722,169,,
0292,迫,0,,,,11965,162,,
0293,進,0,,,,12022,162,,
0294,障,0,,,,12914,170,,
0295,險,0,,,,12929,170,,
0296,陋,0,,,,12836,170,,
0297,集,1,2,,,12963,172,,
0298,震,0,,,,13036,173,,
0299,領,0,,,,13327,181,,
0300,順,0,,,,13302,181,,
0301,頑,0,,,,13314,181,,
0302,頭,0,,,,13346,181,,
0303,類,0,,,,13398,181,,
0304,顛,0,,,,13395,181,,
0305,13332,0,,,,13332,181,,
0306,飽,0,,,,13541,184,,
0307,蝕,0,,,,10457,142,,
0308,餓,0,,,,13559,184,,
0309,首,0,,,,13661,185,,
0310,馬,0,,,,13680,187,,
0311,駝,0,,,,13732,187,,
0312,驅,0,,,,13839,187,,
0313,驢,0,,,,13864,187,,
0314,髻,0,,,,13970,190,,
0315,魍,0,,,,14082,194,,
0316,魎,0,,,,14083,194,,
0317,鳥,0,,,,14361,196,,
0318,黄,0,,,,14693,201,,
0319,黎,0,,,,14700,202,,
0320,黠,0,,,,14726,203,,
0321,黨,0,,,,14730,203,,
0322,齒,0,,,,14833,211,,
0323,龍,0,,,,14876,212,,
0324,下,1,2,,,00009,001,,
0325,三,1,12,,,00007,001,,
0326,七,1,12,,,00004,001,,
0327-0328,不,1,52,,,00013,001,,
0329,一,1,49,,,00001,001,,
0330,上,1,13,,,00008,001,,
0331,世,1,47,,,00025,001,,
0332,中,1,23,,,00051,002,,
0333,主,1,2,,,00070,003,,
0334,乘,1,3,,,00102,004,,
0335,之,1,28,,,00088,004,,
0336,乏,1,2,,,00093,004,,
0337,乃,1,8,,,00078,004,,
0338,乾,1,2,,,00118,005,,
0339,九,1,11,,,00107,005,,
0340,也,1,3,,,00109,005,,
0341,乞,1,3,,,00108,005,,
0342,事,1,3,,,00128,006,,
0343,了,1,3,,,00125,006,,
0344,五,1,12,,,00135,007,,
0345,互,1,2,,,00134,007,,
0346,二,1,10,,,00129,007,,
0347,云,1,6,,,00133,007,,
0348,亦,1,13,,,00154,008,,
0349,傍,1,2,,,00449,009,,
0350,依,1,3,,,00301,009,,
0351,侵,1,3,,,00317,009,,
0352,他,1,7,,,00183,009,,
0353-0354,來,1,60,,,00282,009,,
0355,伐,1,2,,,00218,009,,
0356,位,1,2,,,00243,009,,
0357,住,1,2,,,00245,009,,
0358,伴,1,2,,,00230,009,,
0359,伽,1,3,,,00236,009,,
0360,倶,1,3,,,00350,009,,
0361,以,1,25,,,00194,009,,
0362,今,1,5,,,00175,009,,
0363,令,1,18,,,00193,009,,
0364,信,1,18,,,00345,009,,
0365,作,1,12,,,00256,009,,
0366,何,1,10,,,00250,009,,
0367,便,1,10,,,00321,009,,
0368,人,1,39,,,00168,009,,
0369,使,1,4,,,00279,009,,
0370,佛,1,30,,,00255,009,,
0371,供,1,17,,,00299,009,,
0372,佗,1,2,,,00252,009,,
0373,光,1,38,,,00567,010,,
0374,先,1,2,,,00566,010,,
0375,入,1,3,,,00582,011,,
0376,六,1,3,,,00597,012,,
0377,其,1,31,,,00605,012,,
0378,八,1,8,,,00594,012,,
0379,具,2,13,1,,00606,012,,
0380,況,1,2,,,06058,085,,
0382,出,1,4,,,00723,017,,
0383,則,1,2,,,00789,018,,
0384,利,1,29,,,00767,018,,
0385,切,1,26,,,00735,018,,
0386,前,1,5,,,00794,018,,
0387,分,1,4,,,00734,018,,
0388,刹,1,5,,,00781,018,,
0389,力,1,11,,,00856,019,,
0390,功,1,8,,,00857,019,,
0391,劫,1,5,,,00865,019,,
0392,加,1,2,,,00858,019,,
0393,勝,1,2,,,00893,019,,
0394,動,1,3,,,00887,019,,
0395,勸,1,2,,,00913,019,,
