大字典番号,JIS,カード番号,字体数,用例数,部首番号
00279,使,0152,1,2,9
00282,來,0153,1,55,9
00299,供,0154,1,14,9
00301,依,0155,1,2,9
00321,便,0156,1,10,9
00345,信,0157,1,5,9
00350,倶,0158,1,7,9
00489,像,0159,1,5,9
00520,億,0160,1,9,9
00562,充,0161,1,12,10
00567,光,0162,1,104,10
00582,入,0163,1,33,11
00599,共,0164,1,5,12
00605,其,0165,1,36,12
00606,具,0166,1,9,12
00723,出,0167,1,18,17
00735,切,0168,1,151,18
00763,別,0169,1,9,18
00767,利,0170,1,2,18
00781,刹,0171,1,51,18
00794,前,0172,1,9,18
00803,剛,0173,1,3,18
00856,力,0174,1,34,19
00857,功,0175,1,9,19
00858,加,0176,1,10,19
00865,劫,0177,1,15,19
00887,動,0178,1,3,19
00893,勝,0179,1,9,19
00900,勤,0180,1,2,19
00938,化,0181,1,20,21
00941,北,0182,1,2,21
00985,十,0183,1,110,24
01010,南,0184,1,3,24
01049,即,0185,1,9,26
01101,去,0186,1,2,28
01108,又,0187,1,3,29
01111,及,0188,1,19,29
01127,取,0189,1,2,29
01128,受,0190,1,4,29
01154,可,0191,1,7,30
01158,右,0192,1,2,30
01168,各,0193,1,46,30
01174,同,0194,1,9,30
01175,名,0195,1,34,30
01179,向,0196,1,8,30
01215,吼,0197,1,2,30
01235,周,0198,1,16,30
01288,咸,0199,1,7,30
01349,唯,0200,1,2,30
01395,善,0201,1,5,30
01412,喜,0202,1,7,30
01581,嚴,0203,1,32,30
01607,四,0204,1,3,31
01639,國,0205,1,34,31
01641,圍,0206,1,4,31
01645,圓,0207,1,15,31
01654,土,0208,1,40,32
01659,在,0209,1,10,32
01666,地,0210,1,16,32
01682,坐,0211,1,17,32
01710,垂,0212,1,2,32
01798,場,0213,1,14,32
01818,塗,0214,1,2,32
01831,塵,0215,1,67,32
01839,境,0216,1,10,32
01946,大,0217,1,39,37
01947,天,0218,1,4,37
02031,如,0219,1,91,38
02045,妙,0220,1,34,38
02105,威,0221,1,18,38
02262,子,0222,1,17,39
02264,孔,0223,1,8,39
02309,安,0224,1,14,40
02325,定,0225,1,2,40
02333,宣,0226,1,3,40
02361,密,0227,1,2,40
02383,察,0228,1,17,40
02390,實,0229,1,4,40
02407,寶,0230,1,38,40
02429,尊,0231,1,7,41
02436,導,0232,1,6,41
02528,山,0233,1,10,46
02780,差,0234,1,8,48
02783,已,0235,1,21,49
02820,帝,0236,1,3,50
02835,師,0237,1,14,50
02847,常,0238,1,5,50
02882,幢,0239,1,2,50
02899,平,0240,1,5,51
02944,度,0241,1,5,53
02946,座,0242,1,17,53
03006,建,0243,1,3,54
03084,彌,0244,1,12,57
03101,形,0245,1,5,59
03124,彼,0246,1,22,60
03128,往,0247,1,10,60
03145,得,0248,1,12,60
03151,従,0249,1,3,60
03157,〓,0250,1,44,60
03159,復,0251,1,68,60
03172,徳,0252,1,13,60
03179,心,0253,1,12,61
03214,念,0254,1,37,61
03239,思,0255,1,11,61
03244,性,0256,1,7,61
03267,恆,0257,1,4,61
03312,悉,0258,1,48,61
03326,悟,0259,1,14,61
03395,意,0260,1,5,61
03402,愍,0261,1,2,61
03462,慧,0262,1,19,61
03550,應,0263,1,10,61
03610,成,0264,1,10,62
03611,我,0265,1,2,62
03617,或,0266,1,5,62
