統合ID,文字,カード番号,字体数,用例数,部首,枚数,
06290,清,0609,1,19,085,1,
06432,滅,0610,1,13,085,1,
06476,滿,0611,1,13,085,1,
06490,演,0612,1,6,085,1,
06517,漸,0613,1,10,085,1,
06553,潤,0614,1,2,085,1,
06603,澤,0615,1,2,085,1,
06617,濁,0616,1,2,085,1,
06641,濟,0617,1,3,085,1,
06776,火,0618,1,5,086,1,
06872,無,0619,1,102,086,3,
06885,然,0622,1,3,086,1,
06918,照,0623,1,14,086,1,
06921,煩,0624,1,12,086,1,
06941,熏,0625,1,8,086,1,
06949,熟,0626,1,3,086,1,
06978,燒,0627,1,11,086,1,
07032,爲,0628,1,137,087,3,
07043,爾,0631,1,12,089,1,
07080,物,0632,1,4,093,1,
07180,猛,0633,1,2,094,1,
07203,猶,0634,1,10,094,1,
07212,獄,0635,1,6,094,1,
07230,獨,0636,1,2,094,1,
07241,獲,0637,1,3,094,1,
07259,率,0638,1,6,095,1,
07262,王,0639,1,53,096,2,
07290,珞,0641,1,2,096,1,
07304,現,0642,1,31,096,1,
07348,瑠,0643,1,2,096,1,
07366,璃,0644,1,2,096,1,
07397,瓔,0645,1,2,096,1,
07457,甚,0646,1,2,099,1,
07461,生,0647,1,156,100,4,
07469,用,0651,1,4,101,1,
07479,由,0652,1,6,102,1,
07481,申,0653,1,7,102,1,
07483,男,0654,1,65,102,2,
07501,界,0656,1,39,102,1,
07503,畏,0657,1,5,102,1,
07513,畜,0658,1,5,102,1,
07520,畢,0659,1,2,102,1,
07591,疾,0660,1,4,104,1,
07598,病,0661,1,2,104,1,
07709,白,0662,1,4,106,1,
07710,百,0663,1,10,106,1,
07717,皆,0664,1,35,106,1,
07759,益,0665,1,10,108,1,
07771,盜,0666,1,2,108,1,
07779,盡,0667,1,5,108,1,
07785,盧,0668,1,5,108,1,
07799,直,0669,1,2,109,1,
07801,相,0670,1,14,109,1,
07827,眞,0671,1,2,109,1,
07843,眼,0672,1,6,109,1,
07844,衆,0673,1,132,109,3,
07907,瞻,0676,1,6,109,1,
M23523,M23523,0677,1,6,109,1,
07941,知,0678,1,62,111,2,
07986,破,0680,1,4,112,1,
08077,礙,0681,1,13,112,1,
08097,示,0682,1,27,113,1,
08124,神,0683,1,22,113,1,
08165,禮,0684,1,13,113,1,
08239,稠,0685,1,2,115,1,
08244,種,0686,1,59,115,2,
08248,稱,0688,1,3,115,1,
08269,積,0689,1,3,115,1,
08279,穢,0690,1,2,115,1,
08293,究,0691,1,2,116,1,
08296,空,0692,1,5,116,1,
08329,窮,0693,1,2,116,1,
08354,立,0694,1,2,117,1,
08365,竟,0695,1,3,117,1,
08371,童,0696,1,23,117,1,
08375,竭,0697,1,3,117,1,
08376,端,0698,1,3,117,1,
08380,競,0699,1,2,117,1,
08412,第,0700,1,10,118,1,
08426,等,0701,1,25,118,1,
08685,精,0702,1,3,119,1,
08788,紺,0703,1,2,120,1,
08807,結,0704,1,2,120,1,
08856,經,0705,1,5,120,1,
08885,網,0706,1,9,120,1,
08906,緊,0707,1,5,120,1,
08924,縁,0708,1,2,120,1,
08993,總,0709,1,2,120,1,
09011,09011,0710,1,2,120,1,
09020,繞,0711a,2,12,120,1,
09020b,繞,0711b,2,1,120,1,
09144,羅,0712,1,80,122,2,
09214,習,0714,1,3,124,1,
09255,者,0715,1,49,125,1,
09264,而,0716,1,72,126,2,
09286,耨,0718,1,14,127,1,
09308,聖,0719,1,15,128,1,
09314,聚,0720,1,26,128,1,
09315,聞,0721,1,20,128,1,
09335,聽,0722,1,3,128,1,
09395,胎,0723,1,2,130,1,
09425,胸,0724,1,2,130,1,
09429,能,0725,1,73,130,2,
09463,脱,0727,1,11,130,1,
09602,自,0728,1,22,132,1,
09610,至,0729,1,25,133,1,
09629,與,0730,1,11,134,1,
09630,興,0731,1,2,134,1,
09632,擧,0732,1,2,134,1,
09643,舒,0733,1,3,135,1,
09675,船,0734,1,8,137,1,
09714,良,0735,1,2,138,1,
09716,色,0736,1,12,139,1,
09753,芬,0737,1,2,140,1,
09788,若,0738,1,43,140,1,
09789,苦,0739,1,16,140,1,
09886,莫,0740,1,2,140,1,
09919,菩,0741,1,144,140,3,
09961,落,0744,1,3,140,1,
09972,著,0745,1,21,140,1,
10040,蓋,0746,1,3,140,1,
10050,蓮,0747,1,4,140,1,
10088,蔽,0748,1,2,140,1,
10163,薩,0749,1,134,140,3,
10191,藏,0752,1,25,140,1,
10192,藐,0753,1,14,140,1,
10201,藝,0754,1,2,140,1,
10272,虚,0755,1,3,141,1,
10414,蜜,0756,1,20,142,1,
10614,行,0757,1,96,144,2,
10637,衣,0759,1,9,145,1,
10826,覆,0760,1,5,146,1,
10831,見,0761,1,89,147,2,
10848,親,0763,1,2,147,1,
10859,觀,0764,1,17,147,1,
10890,言,0765,1,32,149,1,
10936,訶,0766,1,8,149,1,
10974,詣,0767,1,14,149,1,
11017,語,0768,1,4,149,1,
11024,誨,0769,1,5,149,1,
11038,調,0770,1,8,149,1,
11058,論,0771,1,2,149,1,
11085,諸,0772,1,143,149,3,
11095,謂,0775,1,6,149,1,
11155,證,0776,1,4,149,1,
11171,識,0777,1,16,149,1,
11195,議,0778,1,3,149,1,
11200,護,0779,1,4,149,1,
11229,讚,0780,1,5,149,1,
11311,貌,0781,1,2,153,1,
11334,財,0782,1,39,154,1,
11342,貪,0783,1,4,154,1,
11377,賊,0784,1,3,154,1,
11461,起,0785,1,21,156,1,
11467,超,0786,1,3,156,1,
11485,趣,0787a,2,6,156,1,
11485b,趣,0787b,2,6,156,1,
11495,足,0788,1,26,157,1,
11548,路,0789,1,6,157,1,
11715,身,0790,1,42,158,1,
11740,車,0791,1,2,159,1,
11745,軍,0792,1,3,159,1,
11827,輪,0793,1,11,159,1,
11856,轉,0794,1,8,159,1,
11916,辯,0795,1,4,160,1,
11948,近,0796,1,3,162,1,
11960,迦,0797,1,8,162,1,
11974,迷,0798,1,5,162,1,
12000,通,0799,1,7,162,1,
12003,速,0800,1,4,162,1,
12022,進,0801,1,2,162,1,
12027,逸,0802,1,2,162,1,
12040,遇,0803,1,2,162,1,
12042,遊,0804,1,12,162,1,
12043,運,0805,1,2,162,1,
12046,過,0806,1,4,162,1,
12051,道,0807,1,70,162,2,
12052,達,0809,1,6,162,1,
12070,遠,0810,1,3,162,1,
12082,遭,0811,1,2,162,1,
12083,遮,0812,1,4,162,1,
12092,遶,0813a,2,35,162,1,
12092b,遶,0813b,2,1,162,1,
12108,還,0814,1,2,162,1,
12115,邊,0815,1,3,162,1,
12123,邑,0816,1,3,163,1,
12134,那,0817,1,17,163,1,
12139,邪,0818,1,2,163,1,
12176,部,0819,1,2,163,1,
12188,都,0820,1,3,163,1,
12234,鄰,0821,1,2,163,1,
12371,釋,0822,1,4,165,1,
12373,重,0823,1,4,166,1,
12374,野,0824,1,3,166,1,
12376,量,0825,1,23,166,1,
12380,金,0826,1,11,167,1,
12440,鉢,0827,1,3,167,1,
12698,長,0828,1,10,168,1,
12709,門,0829,1,69,169,2,
12716,開,0831,1,3,169,1,
12724,間,0832,1,24,169,1,
12739,閣,0833,1,6,169,1,
12757,閻,0834,1,12,169,1,
12800,闥,0835,1,5,169,1,
12830,阿,0836,1,25,170,1,
12831,陀,0837,1,10,170,1,
12855,除,0838,1,7,170,1,
12870,陸,0839,1,2,170,1,
12914,障,0840,1,12,170,1,
12927,隨,0841,1,8,170,1,
12929,險,0842,1,9,170,1,
12935,隱,0843,1,5,170,1,
12963,集,0844,1,3,172,1,
12997,雜,0845,1,2,172,1,
13001,離,0846a,2,23,172,1,
13001b,離,0846b,2,3,172,1,
13002,難,0847,1,17,172,1,
