カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0310,内,1,5,,,,00585,011,1
0311,八,1,3,,,,00594,012,1
0312,六,1,3,,,,00597,012,1
0313,共,1,33,,,,00599,012,1
0314-0316,其,1,106,,,,00605,012,3
0317,具,1,15,,,,00606,012,1
0318,冠,1,2,,,,00646,014,1
0319,出,1,26,,,,00723,017,1
0320,分,1,8,,,,00734,018,1
0321-0325,切,1,224,,,,00735,018,5
0326,初,1,3,,,,00759,018,1
0327,別,1,21,,,,00763,018,1
0328,利,1,14,,,,00767,018,1
0329,到,1,5,,,,00769,018,1
0330,刺,1,2,,,,00782,018,1
0331,則,1,5,,,,00789,018,1
0332,前,1,9,,,,00794,018,1
0333,剛,1,3,,,,00803,018,1
0334,力,1,17,,,,00856,019,1
0335,功,1,22,,,,00857,019,1
0336,劣,1,2,,,,00859,019,1
0337,劫,1,4,,,,00865,019,1
0338,勇,1,2,,,,00881,019,1
0339,動,1,3,,,,00887,019,1
0340,勝,1,11,,,,00893,019,1
0341,勤,1,3,,,,00900,019,1
0342,化,1,12,,,,00938,021,1
0343,匝,1,14,,,,00951,022,1
0344,十,1,22,,,,00985,024,1
0345,千,1,19,,,,00987,024,1
0346,南,1,7,,,,01010,024,1
0347,印,1,2,,,,01034,026,1
0348,即,1,5,,,,01049,026,1
0349,厄,1,2,,,,01058,027,1
0350,厭,1,8,,,,01088,027,1
0351,去,1,7,,,,01101,028,1
0352,又,1,6,,,,01108,029,1
0353,叉,1,5,,,,01109,029,1
0354,及,1,15,,,,01111,029,1
0355,取,1,4,,,,01127,029,1
0356,受,1,10,,,,01128,029,1
0357,可,1,22,,,,01154,030,1
0358,右,1,2,,,,01158,030,1
0359,各,1,4,,,,01168,030,1
0360,合,1,7,,,,01170,030,1
0361,同,1,8,,,,01174,030,1
0362-0363,名,1,67,,,,01175,030,2
0364,向,1,9,,,,01179,030,1
0365,吹,1,2,,,,01212,030,1
0366,告,1,8,,,,01219,030,1
0367,周,1,9,,,,01235,030,1
0368,命,1,2,,,,01252,030,1
0369,和,1,2,,,,01263,030,1
0370,咸,1,3,,,,01288,030,1
0371,哉,1,10,,,,01305,030,1
0372,唯,1,21,,,,01349,030,1
0373,商,1,3,,,,01363,030,1
0374,問,1,9,,,,01369,030,1
0375-0378,善,1,167,,,,01395,030,4
0379,喜,1,14,,,,01412,030,1
0380,嗅,1,2,,,,01439,030,1
0381,器,1,2,,,,01523,030,1
0382,嚴,1,35,,,,01581,030,1
0383,四,1,10,,,,01607,031,1
0384,因,1,25,,,,01611,031,1
0385,國,1,13,,,,01639,031,1
0386,圍,1,36,,,,01641,031,1
0387,園,1,14,,,,01644,031,1
0388,圓,1,2,,,,01645,031,1
0389,土,1,6,,,,01654,032,1
0390,在,1,23,,,,01659,032,1
0391,地,1,30,,,,01666,032,1
0392,坦,1,5,,,,01690,032,1
0393,垂,1,3,,,,01710,032,1
0394,垢,1,6,,,,01726,032,1
0395,城,1,28,,,,01740,032,1
0396,執,1,5,,,,01755,032,1
0397,堅,1,4,,,,01767,032,1
0398,報,1,2,,,,01796,032,1
0399,場,1,3,,,,01798,032,1
0400,塗,1,5,,,,01818,032,1
0401,塵,1,5,,,,01831,032,1
0402,境,1,15,,,,01839,032,1
0403,増,1,4,,,,01853,032,1
0404,壞,1,6,,,,01895,032,1
0405,外,1,4,,,,01934,036,1
0406,多,1,22,,,,01938,036,1
0407,夜,1,20,,,,01939,036,1
0408-0409,大,1,82,,,,01946,037,2
0410-0411,天,1,65,,,,01947,037,2
0412,失,1,4,,,,01957,037,1
0413,夷,2,1,1,,,01961,037,1
0414,奪,1,2,,,,02013,037,1
0415,女,1,12,,,,02022,038,1
0416,好,1,5,,,,02029,038,1
0417-0419,如,1,107,,,,02031,038,3
0420,妙,1,20,,,,02045,038,1
0421,威,1,6,,,,02105,038,1
0422,娑,1,2,,,,02110,038,1
0423,婆,1,13,,,,02142,038,1
0424-0426,子,1,112,,,,02262,039,3
0427,孔,1,4,,,,02264,039,1
0428,宅,1,2,,,,02306,040,1
0429,安,1,12,,,,02309,040,1
0430,定,1,4,,,,02325,040,1
0431,宮,1,12,,,,02342,040,1
0432,家,1,2,,,,02349,040,1
0433,宿,1,4,,,,02355,040,1
0434,寂,1,4,,,,02357,040,1
0435,察,1,6,,,,02383,040,1
0436,實,1,3,,,,02390,040,1
0437-0438,寶,1,58,,,,02407,040,2
0439,將,1,3,,,,02425,041,1
0440,專,1,3,,,,02426,041,1
0441,尋,1,2,,,,02430,041,1
0442,就,1,24,,,,02464,043,1
0443,居,1,3,,,,02482,044,1
0444,山,1,15,,,,02528,046,1
0445,岸,1,3,,,,02564,046,1
0446,差,1,9,,,,02780,048,1
0447,已,1,26,,,,02783,049,1
0448,布,1,6,,,,02800,050,1
0449,帝,1,4,,,,02820,050,1
0450,師,1,24,,,,02835,050,1
0451,帳,1,2,,,,02843,050,1
0452,常,1,15,,,,02847,050,1
0453,幡,1,2,,,,02881,050,1
0454,幢,1,6,,,,02882,050,1
0455,平,1,13,,,,02899,051,1
0456,幻,1,2,,,,02907,052,1
0457,底,1,2,,,,02932,053,1
0458,度,1,7,,,,02944,053,1
0459,廣,1,11,,,,02993,053,1
0460,廻,1,4,,,,03008,054,1
0461,引,1,3,,,,03044,057,1
0462,彌,1,5,,,,03084,057,1
0463,形,1,12,,,,03101,059,1
0464,彼,1,33,,,,03124,060,1
0465,往,1,8,,,,03128,060,1
0466,後,1,2,,,,03138,060,1
0467,徐,1,2,,,,03141,060,1
0468,得,1,47,,,,03145,060,1
0469,從,1,5,,,,03151,060,1
0470,03157,1,22,,,,03157,060,1
0471,復,1,20,,,,03159,060,1
0472,微,1,5,,,,03165,060,1
0473,徳,1,28,,,,03172,060,1
0474-0475,心,1,64,,,,03179,061,2
0476,必,1,3,,,,03180,061,1
0477,03182,1,2,,,,03182,061,1
0478,念,1,22,,,,03214,061,1
0479,怖,1,13,,,,03233,061,1
0480,思,1,8,,,,03239,061,1
0481,性,1,3,,,,03244,061,1
0482,怨,1,2,,,,03245,061,1
0483,恆,1,3,,,,03267,061,1
0484,恐,1,4,,,,03272,061,1
0485,恚,1,2,,,,03278,061,1
0486,息,1,3,,,,03298,061,1
0487,悉,1,22,,,,03312,061,1
0488,悲,1,8,,,,03335,061,1
0489,惑,1,5,,,,03355,061,1
0490,惟,1,5,,,,03365,061,1
0491,惡,1,14,,,,03367,061,1
0492,惱,1,13,,,,03372,061,1
0493,想,1,4,,,,03373,061,1
0494,惶,1,3,,,,03376,061,1
0495,意,1,13,,,,03395,061,1
0496,愛,1,6,,,,03405,061,1
0497,慇,1,6,,,,03438,061,1
0498,慈,1,3,,,,03439,061,1
0499,慢,1,3,,,,03458,061,1
0500,慧,1,16,,,,03462,061,1
0501,憂,1,7,,,,03486,061,1
0502,憶,1,2,,,,03534,061,1
0503,懃,1,4,,,,03544,061,1
0504,應,1,3,,,,03550,061,1
0505,戀,1,2,,,,03595,061,1
0506,成,1,31,,,,03610,062,1
0507-0508,我,1,96,,,,03611,062,2
0509,戒,1,4,,,,03612,062,1
0510-0511,或,1,69,,,,03617,062,2
0512-0514,所,1,101,,,,03647,063,3
0515,才,1,3,,,,03661,064,1
0516,技,1,2,,,,03691,064,1
