,,hod_法蔵和尚,hod_法蔵和尚,hod_法蔵和尚,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
08765,素,0439,0,1,120
08773,紫,0440,0,1,120
09055,纇,0441,0,1,120
08945,緼,0442,0,1,120
09125,罪,0443,0,1,122
09182,羯,0444,0,1,123
09150,羊,0445,0,1,123
09168,羞,0446,0,1,123
09228,翦,0447,0,1,124
09214,習,0448,0,1,124
09240,翹,0449,0,1,124
09245,翼,0450,0,1,124
09332,職,0451,0,1,128
09336,聾,0452,0,1,128
09329,聳,0453,0,1,128
09325,聯,0454,0,1,128
09330,聵,0455,0,1,128
09411,胡,0456,0,1,130
09584,臘,0457,0,1,130
09572,臆,0458,0,1,130
04681,朏,0459,0,1,074
09562,膽,0460,0,1,130
09414,胥,0461,0,1,130
09436,脇,0462,0,1,130
09587,臚,0463,0,1,130
09665,般,0464,0,1,137
09715,艱,0465,0,1,138
10183,藁,0466,0,1,140
10121,蕤,0467,0,1,140
10022,蒯,0468,0,1,140
09934,萃,0469,0,1,140
01850,墓,0470,0,1,032
10162,薨,0471,0,1,140
09807,茂,0472,0,1,140
09725,艾,0473,0,1,140
10139,薄,0474,0,1,140
10079,蔟,0475,0,1,140
09782,苟,0476,0,1,140
09982,葦,0477,0,1,140
09925,菴,0478,0,1,140
09743,芟,0479,0,1,140
10048,蓬,0480,0,1,140
10086,蔭,0481,0,1,140
10204,藥,0482,0,1,140
10189,藍,0483,0,1,140
10266,虐,0484,0,1,141
10276,號,0486a,2,3,141
10276b,號,0486b,2,1,141
10273,虜,0487,0,1,141
10546,蟬,0488,0,1,142
10287,虯,0489,0,1,142
10390,蜀,0490,0,1,142
10540,蟠,0491,0,1,142
10600,蠹,0492,0,1,142
10528,蟄,0493,0,1,142
10617,衒,0494,0,1,144
10631,衡,0495,0,1,144
10618,術,0496,0,1,144
10636,衢,0497,0,1,144
10792,襟,0498,0,1,145
10724,裳,0499,0,1,145
10653,衷,0500,0,1,145
10669,袒,0501,0,1,145
10682,袪,0502,0,1,145
10683,被,0503,0,1,145
10675,袞,0504,0,1,145
10696,裁,0505,0,1,145
10761,褰,0506,0,1,145
10826,覆,0507,0,1,146
10849,覬,0508,0,1,147
10860,角,0509,0,1,148
10967,詞,0510,0,1,149
11079,諱,0511,0,1,149
11121,謝,0512,0,1,149
10974,詣,0513,0,1,149
10984,詳,0514,0,1,149
10920,訣,0515,0,1,149
11098,謄,0516,0,1,149
11189,譬,0517,0,1,149
10972,詢,0518,0,1,149
11086,諺,0519,0,1,149
11172,譚,0520,0,1,149
11076,諮,0521,0,1,149
11053,諏,0522,0,1,149
11134,謬,0523,0,1,149
10897,訊,0524,0,1,149
10930,許,0525,0,1,149
11111,謐,0526,0,1,149
10979,詩,0527,0,1,149
11073,諧,0528,0,1,149
11094,謁,0529,0,1,149
10913,託,0530,0,1,149
11021,誣,0531,0,1,149
10916,訛,0532,0,1,149
M35254,𧥮,0533,0,1,149
11167,譔,0534,0,1,149
11217,讌,0535,0,1,149
10981,詬,0536,0,1,149
10943,訾,0537,0,1,149
11220,讎,0538,0,1,149
11234,谷,0539,0,1,150
11280,豨,0540,0,1,152
11355,貴,0541,0,1,154
11343,貫,0542,0,1,154
11335,貢,0543,0,1,154
11328,貝,0544,0,1,154
11422,賾,0545,0,1,154
11377,賊,0546,0,1,154
11349,貯,0547,0,1,154
11410,賮,0548,0,1,154
07329x3,琛,0549,0,1,096
11386,賓,0550,0,1,154
11358,貺,0551,0,1,154
11432,贊,0552,0,1,154
11445,赤,0553,0,1,155
11490,趨,0554,0,1,156
11542,跪,0555,0,1,157
11597,踵,0556,0,1,157
11515,跋,0557,0,1,157
11504,趾,0558,0,1,157
11708,躡,0559,0,1,157
11565,踊,0560,0,1,157
11678,躅,0561,0,1,157
11782,軻,0562,0,1,159
11823,輦,0563,0,1,159
11802,輕,0564,0,1,159
11791,較,0565,0,1,159
11815,輝,0566,0,1,159
11744,軌,0567,0,1,159
11896,辜,0568,0,1,160
11919,農,0569,0,1,161
12099,遼,0570,0,1,162
12002,逞,0571,0,1,162
12003,速,0572,0,1,162
12009,逢,0573,0,1,162
12083,遮,0574,0,1,162
12047,遏,0575,0,1,162
12001,逝,0576,0,1,162
11998,逗,0577,0,1,162
03008,廻,0578,0,1,054
12205,鄕,0580,0,1,163
12170,郡,0581,0,1,163
12160,郊,0582,0,1,163
12179,郭,0583,0,1,163
12134,那,0584,0,1,163
12171,郢,0585,0,1,163
12362,釁,0586,0,1,164
12294,酬,0587,0,1,164
12350,醴,0588,0,1,164
12355,醻,0589,0,1,164
12266,酒,0590,0,1,164
12341,醫,0591,0,1,164
12367,采,0592,0,1,165
12372,里,0593,0,1,166
12374,野,0594,0,1,166
12395,釭,0595,0,1,167
12459,銑,0596,0,1,167
12479,鋈,0597,0,1,167
12645,鐘,0598,0,1,167
