統合ID,文字,カード番号,字体数,用例数,部首,枚数
07878,瞋,0477,1 ,3 ,109,1 
07941,知,0478,1 ,40 ,111,1 
07948,短,0479,1 ,6 ,111,1 
07954,石,0480,1 ,2 ,112,1 
07986,破,0481,1 ,4 ,112,1 
08051,磔,0482,1 ,2 ,112,1 
08057,磨,0483,1 ,43 ,112,1 
08077,礙,0484,1 ,9 ,112,1 
08162,禪,0485,1 ,5 ,113,1 
08165,禮,0486,1 ,5 ,113,1 
08244,種,0487,1 ,83 ,115,2 
08296,空,0489,1 ,2 ,116,1 
08354,立,0490,1 ,3 ,117,1 
08365,竟,0491,1 ,15 ,117,1 
08375,竭,0492,1 ,2 ,117,1 
08412,第,0493,1 ,35 ,118,1 
08426,等,0494,1 ,15 ,118,1 
08437,答,0495,1 ,29 ,118,1 
08685,精,0496,1 ,2 ,119,1 
08711,糞,0497,1 ,2 ,119,1 
08807,結,0498,1 ,8 ,120,1 
08984,縵,0499,1 ,4 ,120,1 
09125,罪,0500,1 ,3 ,122,1 
09144,羅,0501,1 ,31 ,122,1 
09182,羯,0502,1 ,43 ,123,1 
09250,老,0503,1 ,3 ,125,1 
09255,者,0504,1 ,79 ,125,2 
09264,而,0506,1 ,10 ,126,1 
09292,耶,0507,1 ,8 ,128,1 
09314,聚,0508,1 ,2 ,128,1 
09315,聞,0509,1 ,10 ,128,1 
09357,肘,0510,1 ,10 ,130,1 
09370,肩,0511,1 ,6 ,130,1 
09429,能,0512,1 ,49 ,130,1 
09433,脂,0513,1 ,5 ,130,1 
09486,腐,0514,1 ,2 ,130,1 
09516,腹,0515,1 ,3 ,130,1 
09544,膠,0516,1 ,6 ,130,1 
09602,自,0517,1 ,20 ,132,1 
09610,至,0518,1 ,20 ,133,1 
09632,擧,0519,1 ,2 ,134,1 
09638,舍,0520,1 ,18 ,135,1 
09788,若,0521,1 ,122 ,140,3 
09921,華,0524,1 ,3 ,140,1 
09972,著,0525,1 ,6 ,140,1 
10163,薩,0526,1 ,2 ,140,1 
10204,藥,0527,1 ,29 ,140,1 
10251,蘭,0528,1 ,4 ,140,1 
10270,處,0529,1 ,12 ,141,1 
10414,蜜,0530,1 ,2 ,142,1 
10614,行,0531,1 ,26 ,144,1 
10630,衞,0532,1 ,9 ,144,1 
10637,衣,0533,1 ,96 ,145,2 
10826,覆,0535,1 ,16 ,146,1 
10831,見,0536,1 ,10 ,147,1 
10890,言,0537,1 ,99 ,149,2 
11017,語,0539,1 ,36 ,149,1 
11025,説,0540,1 ,48 ,149,1 
11028,誰,0541,1 ,17 ,149,1 
11038,調,0542,1 ,9 ,149,1 
11049,請,0543,1 ,2 ,149,1 
11074,諫,0544,1 ,3 ,149,1 
11085,諸,0545,1 ,41 ,149,1 
11171,識,0546,1 ,6 ,149,1 
11229,讚,0547,1 ,6 ,149,1 
11332,負,0548,1 ,2 ,154,1 
11344,責,0549,1 ,25 ,154,1 
11356,買,0550,1 ,2 ,154,1 
11377,賊,0551,1 ,2 ,154,1 
11445,赤,0552,1 ,4 ,155,1 
11471,越,0553,1 ,8 ,156,1 
11495,足,0554,1 ,50 ,157,1 
11515,跋,0555,1 ,5 ,157,1 
11715,身,0556,1 ,3 ,158,1 
11827,輪,0557,1 ,2 ,159,1 
11856,轉,0558,1 ,2 ,159,1 
12027,逸,0559,1 ,34 ,162,1 
12042,遊,0560,1 ,4 ,162,1 
12046,過,0561,1 ,17 ,162,1 
12051,道,0562,1 ,16 ,162,1 
12052,達,0563,1 ,8 ,162,1 
12062,遙,0564,1 ,2 ,162,1 
12083,遮,0565,1 ,5 ,162,1 
12108,還,0566,1 ,3 ,162,1 
12134,那,0567,1 ,6 ,163,1 
12176,部,0568,1 ,9 ,163,1 
12371,釋,0569,1 ,11 ,165,1 
12376,量,0570,1 ,11 ,166,1 
12440,鉢,0571,1 ,27 ,167,1 
12441,鉤,0572,1 ,10 ,167,1 
12518,錢,0573,1 ,2 ,167,1 
12698,長,0574,1 ,36 ,168,1 
12709,門,0575,1 ,17 ,169,1 
12716,開,0576,1 ,2 ,169,1 
12721,閏,0577,1 ,2 ,169,1 
12774,闍,0578,1 ,5 ,169,1 
12830,阿,0579,1 ,28 ,170,1 
12831,陀,0580,1 ,32 ,170,1 
12855,除,0581,1 ,3 ,170,1 
12914,障,0582,1 ,17 ,170,1 
12927,隨,0583,1 ,34 ,170,1 
12963,集,0584,1 ,9 ,172,1 
13002,難,0585,1 ,16 ,172,1 
13073,露,0586,1 ,3 ,173,1 
13104,非,0587,1 ,67 ,175,2 
13108,面,0589,1 ,5 ,176,1 
13176,13176,0590,1 ,2 ,177,1 
13302,順,0591,1 ,9 ,181,1 
13304,須,0592,1 ,4 ,181,1 
13346,頭,0593,1 ,14 ,181,1 
13391,願,0594,1 ,9 ,181,1 
13395,顛,0595,1 ,2 ,181,1 
13503,食,0596,1 ,18 ,184,1 
13565,餘,0597,1 ,4 ,184,1 
14033,14033,0598,1 ,2 ,191,1 
14039,鬱,0599,1 ,4 ,192,1 
14620,鹽,0600,1 ,6 ,197,1 
14681,麻,0601,1 ,3 ,200,1 
14720,默,0602,1 ,13 ,203,1 
14730,黨,0603,1 ,4 ,203,1 
00108,乞,0604a,2 ,41 ,005,1 
00108b,乞,0604b,2 ,1 ,005,1 
01079,厥,0605a,2 ,3 ,027,1 
01079b,厥,0605b,2 ,3 ,027,1 
01740,城,0606a,2 ,5 ,032,1 
01740b,城,0606b,2 ,1 ,032,1 
02473,尼,0607a,2 ,305 ,044,7 
02473b,尼,0607b,2 ,2 ,044,7 
02846,帶,0614a,2 ,1 ,050,1 
02846b,帶,0614b,2 ,1 ,050,1 
02944,度,0615a,2 ,26 ,053,1 
02944b,度,0615b,2 ,2 ,053,1 
04984,條,0616a,2 ,9 ,075,1 
04984b,條,0616b,2 ,1 ,075,1 
08924,縁,0617a,2 ,37 ,120,1 
08924b,縁,0617b,2 ,1 ,120,1 
08976,縫,0618a,2 ,4 ,120,1 
08976b,縫,0618b,2 ,2 ,120,1 
09335,聽,0619a,2 ,36 ,128,1 
09335b,聽,0619b,2 ,3 ,128,1 
09462,脩,0620a,2 ,9 ,130,1 
09462b,脩,0620b,2 ,1 ,130,1 
10856,覺,0621a,2 ,2 ,147,1 
10856b,覺,0621b,2 ,1 ,147,1 
11018,誠,0622a,2 ,2 ,149,1 
11018b,誠,0622b,2 ,1 ,149,1 
06872,無,0623a,3 ,21 ,086,1 
06872b,無,0623b,3 ,1 ,086,1 
06872c,無,0623c,3 ,3 ,086,1 
09629,與,0624a,3 ,37 ,134,1 
09629b,與,0624b,3 ,1 ,134,1 
09629c,與,0624c,3 ,1 ,134,1 
