統合ID,文字,S2423,字体数,用例数,部首
02429,尊,0533,1,23,041
02435,對,0534,1,3,041
02439,小,0535,1,2,042
02440,少,0536,1,17,042
02446,尚,0537,1,2,042
02464,就,0538,1,2,043
02482,居,0539,1,2,044
02515,屬,0540,1,4,044
02528,山,0541,1,4,046
02564,岸,0542,1,6,046
02775,巧,0543,1,7,048
02782,己,0544,1,12,049
02783,已,0545,1,19,049
02800,布,0546,1,29,050
02806,希,0547,1,3,050
02835,師,0548a,2,7,050
02835b,師,0548b,2,5,050
02847,常,0549,1,32,050
02899,平,0550,1,4,051
02900,年,0551,1,4,051
02902,并,0552,1,2,051
02924,床,0553,1,2,053
02944,度,0554,1,8,053
02946,座,0555,1,3,053
02989,廟,0556,1,3,053
02993,廣,0557,1,5,053
03052,弟,0558,1,10,057
03084,彌,0559,1,4,057
03101,形,0560,1,4,059
03124,彼,0561,1,38,060
03128,往,0562,1,2,060
03137,律,0563,1,8,060
03138,後,0564,1,8,060
03145,得,0565,1,46,060
03151,從,0566,1,17,060
03165,微,0567,1,2,060
03172,德,0568,1,18,060
03179,心,0569,1,44,061
03184,忍,0570,1,4,061
03196,忘,0571,1,3,061
03208,快,0572,1,2,061
03214,念,0573,1,14,061
03239,思,0574,1,8,061
03244,性,0575,1,4,061
03272,恐,0576,1,2,061
03312,悉,0577,1,5,061
03320,悔,0578,1,4,061
03329,患,0579,1,3,061
03335,悲,0580,1,30,061
03339,悶,0581,1,2,061
03348,情,0582,1,7,061
03355,惑,0583,1,3,061
03364,惜,0584,1,3,061
03365,惟,0585,1,3,061
03366,惠,0586,1,3,061
03367,惡,0587,1,48,061
03372,惱,0588,1,16,061
03395,意,0589,1,12,061
03402,愍,0590,1,4,061
03404,愚,0591,1,7,061
03405,愛,0592,1,4,061
03439,慈,0593,1,18,061
03458,慢,0594,1,3,061
03462,慧,0595,1,12,061
03471,慳,0596,1,2,061
03486,憂,0597,1,2,061
01412,喜,0598,1,10,030
03550,應,0599,1,33,061
03610,成,0600,1,8,062
03611,我,0601,1,90,062
03612,戒,0603,1,10,062
03617,或,0604,1,69,062
03640,戸,0606,1,2,063
03647,所,0607,1,47,063
03666,打,0608,1,2,064
03690,承,0609,1,3,064
03780,持,0610,1,8,064
03939,損,0611,1,2,064
03835,捨,0612,1,8,064
03896,提,0613,1,2,064
04009,摩,0614,1,2,064
04142,擾,0615,1,3,064
04192,攝,0616,1,7,064
04233,放,0617,1,2,066
04243,故,0618,1,71,066
04286,敬,0620,1,8,066
04296,敷,0621,1,2,066
04298,數,0622,1,3,066
04319,變,0623,1,4,066
04321,文,0624,1,3,067
04373,斯,0625,1,6,069
04376,新,0626,1,5,069
04385,方,0627,1,16,070
04389,於,0628,1,47,070
04391,施,0629,1,59,070
04446,日,0631,1,7,072
04480,昇,0632,1,2,072
04485,明,0633a,2,9,072
04485b,明,0633b,2,1,072
04512,是,0634,1,116,072
04523,時,0637,1,69,072
04557,普,0639,1,7,072
04569,智,0640,1,16,072
04591,暗,0641,1,2,072
04603,暫,0642,1,2,072
04650,曰,0643,1,2,073
04651,曲,0644,1,3,073
04654,更,0645,1,9,073
04661,曾,0646,1,3,073
04664,最,0647,1,9,073
04667,會,0648,1,6,073
04673,月,0649,1,5,074
04674,有,0650,1,99,074
04679,服,0652,1,4,074
04693,望,0653,1,2,074
04699,期,0654,1,2,074
04711,未,0655,1,32,075
04713,本,0656,1,3,075
04739,村,0657,1,2,075
04769,杵,0658,1,2,075
04803,林,0659,1,2,075
04806,果,0660,1,4,075
04848,染,0661,1,2,075
05010,梵,0662,1,4,075
05152,業,0663,1,15,075
05228,槃,0664,1,7,075
05279,樂,0665,1,19,075
05323,樹,0666,1,2,075
05368,機,0667,1,2,075
05391,檀,0668,1,3,075
05558,次,0669,1,30,076
05580,欲,0670,1,10,076
05612,歎,0671,1,10,076
05609,歌,0672,1,2,076
05639,歡,0673,1,6,076
05641,止,0674,1,3,077
05643,正,0675,1,12,077
05644,此,0676,1,55,077
05670,歷,0678,1,3,077
05686,死,0679,1,3,078
05717,殊,0680,1,3,078
05812,毀,0681,1,8,079
05834,母,0682,1,2,080
05845,毗,0683,1,5,081
05952,水,0684,1,5,085
