統合ID,文字,P2195,字体数,用例数,部首
01109,叉,0280,1,4,029
01111,及,0281,1,26,029
01128,受,0282,1,14,029
01127,取,0283,1,2,029
01154,可,0284,1,5,030
01168,各,0285,1,4,030
01170,合,0286,1,4,030
01175,名,0287,1,6,030
01179,向,0288,1,2,030
01197,含,0289,1,2,030
01219,告,0290,1,4,030
01252,命,0291,1,3,030
01296,品,0292,1,5,030
01305,哉,0293,1,7,030
01235,周,0294,1,2,030
01349,唯,0295,1,3,030
01395,善,0296,1,18,030
01412,喜,0297a,2,9,030
01412b,喜,0297b,2,2,030
01581,嚴,0298,1,4,030
01600,囑,0299,1,7,030
01607,四,0300,1,8,031
01639,國,0301,1,11,031
01641,圍,0302,1,4,031
01654,土,0303,1,7,032
01659,在,0304,1,8,032
01666,地,0305,1,5,032
01682,坐,0306,1,7,032
01710,垂,0307,1,2,032
01740,城,0308,1,2,032
01798,場,0309,1,3,032
01816,塔,0310,1,8,032
01818,塗,0311,1,3,032
01913,壽,0312,1,2,033
01938,多,0313,1,15,036
01939,夜,0314,1,7,036
01946,大,0315,1,33,037
01947,天,0316,1,22,037
01949,夫,0317,1,2,037
01974,奉,0318,1,2,037
02022,女,0319,1,5,038
02031,如,0320,1,87,038
02045,妙,0322,1,3,038
02061,妻,0323,1,2,038
02110,娑,0324,1,7,038
02142,婆,0325,1,17,038
02262,子,0326,1,18,039
02264,孔,0327,1,2,039
02293,學,0328,1,3,039
02308,守,0329,1,2,040
02309,安,0330,1,3,040
02325,定,0331,1,2,040
02333,宣,0332,1,4,040
02407,寶,0333,1,34,040
02390,實,0334,1,2,040
02429,尊,0335,1,17,041
02439,小,0336,1,2,042
02440,少,0337,1,2,042
02473,尼,0338,1,14,044
02528,山,0339,1,9,046
02564,岸,0340,1,3,046
02783,已,0341,1,23,049
02800,布,0342,1,5,050
02835,師,0343,1,8,050
02843,帳,0344,1,2,050
02847,常,0345,1,2,050
02881,幡,0346,1,5,050
02897,干,0347,1,2,051
02902,并,0348,1,3,051
02944,度,0349,1,9,053
02946,座,0350,1,7,053
02993,廣,0351,1,7,053
03052,弟,0352,1,2,057
03084,彌,0353,1,2,057
03079,彈,0354,1,2,057
03124,彼,0355,1,4,060
03128,往,0356,1,3,060
03138,後,0357,1,16,060
03145,得,0358,1,45,060
03151,從,0359,1,4,060
03159,復,0360,1,25,060
03172,德,0361,1,23,060
03179,心,0362,1,12,061
03180,必,0363,1,2,061
03184,忍,0364,1,2,061
03214,念,0365,1,6,061
03239,思,0366,1,3,061
03267,恆,0367,1,4,061
03297,恭,0368,1,3,061
03312,悉,0369,1,3,061
03315,悋,0370,1,2,061
03335,悲,0371,1,3,061
03372,惱,0372,1,6,061
03462,慧,0373,1,9,061
03466,慮,0374,1,2,061
03471,慳,0375,1,2,061
03509,憙,0376,1,12,061
03550,應,0377,1,9,061
03610,成,0378,1,4,062
03611,我,0379,1,28,062
03659,手,0380,1,2,064
03780,持,0381,1,16,064
03783,指,0382,1,5,064
03835,捨,0383,1,3,064
03858,掌,0384,1,4,064
03896,提,0385,1,8,064
04009,摩,0386,1,16,064
04216,支,0387,1,4,065
