カード番号,文字,部首,字体数,用例数1,用例数2,大字典,,,,,
0488,耨,127,1,14,,09286,,,,,
0489,耳,128,1,4,,09290,,,,,
0490,聲,128,1,18,,09328,,,,,
0491,聖,128,1,6,,09308,,,,,
0492,聞,128,1,24,,09315,,,,,
0493,能,130,1,10,,09429,,,,,
0494,脩,130,1,6,,09462,,,,,
0495,脱,130,1,10,,09463,,,,,
0496,自,132,1,10,,09602,,,,,
0497,至,133,1,13,,09610,,,,,
0498,色,139,1,5,,09716,,,,,
0499,萎,140,1,2,,09943,,,,,
0500,若,140,1,13,,09788,,,,,
0501,莊,140,1,2,,09869,,,,,
0502,蒙,140,1,4,,10008,,,,,
0503,藐,140,1,14,,10192,,,,,
0504,薩,140,1,14,,10163,,,,,
0505,華,140,1,28,,09921,,,,,
0506,菩,140,1,38,,09919,,,,,
0507,苦,140,1,16,,09789,,,,,
0508,蓮,140,1,2,,10050,,,,,
0509,處,141,1,16,,10270,,,,,
0510,行,144,1,15,,10614,,,,,
0511,10706,145,1,4,,10706,,,,,
0512,衣,145,1,4,,10637,,,,,
0513,見,147,1,31,,10831,,,,,
0514,覺,147,1,4,,10856,,,,,
0515,親,147,1,3,,10848,,,,,
0516,觀,147,1,2,,10859,,,,,
0517,觸,148,1,4,,10887,,,,,
0518,解,148,1,8,,10875,,,,,
0519,譬,149,1,3,,11189,,,,,
0520,請,149,1,15,,11049,,,,,
0521,説,149,1,47,,11025,,,,,
0522,言,149,1,29,,10890,,,,,
0523,識,149,1,7,,11171,,,,,
0524,讚,149,1,7,,11229,,,,,
0525-0527,諸,149,1,125,,11085,,,,,
0528,詣,149,1,10,,10974,,,,,
0529,議,149,1,4,,11195,,,,,
0530,許,149,1,4,,10930,,,,,
0531,護,149,1,3,,11200,,,,,
0532,謂,149,1,2,,11095,,,,,
0533,語,149,1,2,,11017,,,,,
0534,證,149,1,2,,11155,,,,,
0535,趣,156,1,3,,11485,,,,,
0536,路,157,1,5,,11548,,,,,
0537,躍,157,1,4,,11689,,,,,
0538,踊,157,1,4,,11565,,,,,
0539,足,157,1,7,,11495,,,,,
0540,身,158,1,2,,11715,,,,,
0541,輪,159,1,20,,11827,,,,,
0542,轉,159,1,24,,11856,,,,,
0543,辨,160,1,2,,11908,,,,,
0544,退,162,1,7,,11982,,,,,
0545,進,162,1,4,,12022,,,,,
0546,還,162,1,6,,12108,,,,,
0547,迦,162,1,2,,11960,,,,,
0548,道,162,1,41,,12051,,,,,
0549,通,162,1,23,,12000,,,,,
0550,達,162,1,3,,12052,,,,,
0551,03157,060,1,2,,03157,,,,,
0552,近,162,1,6,,11948,,,,,
0553,遇,162,1,2,,12040,,,,,
0554,過,162,1,16,,12046,,,,,
0555,遠,162,1,9,,12070,,,,,
0556,邊,162,1,4,,12115,,,,,
0557,那,163,1,9,,12134,,,,,
0558,重,166,1,5,,12373,,,,,
